市場別,年份,公司代號,公司名稱,範疇一排放量,範疇一-資料邊界,範疇一-取得驗證,範疇二排放量,範疇二-資料邊界,範疇二-取得驗證,範疇三排放量,範疇三-資料邊界,範疇三-取得驗證,排放密集度,溫室氣體排放密集度-單位,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1326,台化,5398217.25,資料係110年度母公司及台醋經第三方查證數據。,ISO 9001,3265112.7,資料係110年母公司及台醋經第三方查證數據。,ISO 9001,18701609.82,資料係110年母公司及台醋經第三方查證數據。,ISO 9001,3423.77,營業額億元,0,無漂綠跡象,高風險,異常
上市,2021,1337,再生-KY,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,異常
上市,2021,1338,廣華-KY,1635.28,僅重要子公司東莞廣澤汽車飾件有限公司,,26860.57,僅重要子公司東莞廣澤汽車飾件有限公司,,0.0,僅重要子公司東莞廣澤汽車飾件有限公司,,0.0003,產品,0,無漂綠跡象,高風險,異常
上市,2021,1339,昭輝,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,異常
上市,2021,1340,勝悅-KY,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,異常
上市,2021,1341,富林-KY,8387.0,僅子公司同奈廠,ISO 14001,9043.8,僅子公司同奈廠,ISO 14001,0.0,,,1.1393,產品,0,無漂綠跡象,高風險,異常
上市,2021,1342,八貫,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1402,遠東新,1341000.0,統計範疇共21個生產據點,,1145000.0,統計範疇共21個生產據點,,8211000.0,統計範疇共20個生產據點(遠東服裝(蘇州)預計搬遷，故未盤查範疇三數據),,0.32,產品,0,無漂綠跡象,高風險,異常
上市,2021,1409,新纖,112287.86,新光合纖中壢廠,ISO 9001,177128.39,新光合纖中壢廠,ISO 9001,0.0,,,15.31,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1410,南染,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,異常
上市,2021,1413,宏洲,19626.0,僅母公司,,46167.0,僅母公司,,0.0,,,0.436,產品,0,無漂綠跡象,高風險,異常
上市,2021,1414,東和,0.0,本公司,,15865.0,本公司,,0.0,本公司,,0.0,,0,無漂綠跡象,高風險,異常
上市,2021,1416,廣豐,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,異常
上市,2021,1417,嘉裕,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1418,東華,32.8251,僅母公司,ISO 14001,786.405,僅母公司,ISO 14001,0.0,,ISO 14001,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1419,新紡,0.0,,,14227.0,母公司生產單位,,0.0,,,0.0021,產品,0,無漂綠跡象,高風險,正常
上市,2021,1423,利華,1036.0,母公司,,0.0,,,0.0,,,0.0,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1432,大魯閣,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1434,福懋,254487.0,台灣廠區,ISO 9001,93266.0,台灣廠區,ISO 9001,0.0,,,14.22,營業額 百萬元(新台幣),0,無漂綠跡象,高風險,正常
上市,2021,1435,中福,0.0,,,729.0,僅母公司,,0.0,,,60.75,無生產活動，以平均每月用電量計算,0,無漂綠跡象,高風險,正常
上市,2021,1436,華友聯,0.0,,,52.96,僅母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1437,勤益控,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1438,三地開發,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1439,雋揚,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1440,南紡,60595.7301,"仁德廠,太子廠",ISO 9001,83942.244,"仁德廠,太子廠",ISO 9001,677495.123,"仁德廠,太子廠",ISO 9001,2.64,產量公噸,0,無漂綠跡象,高風險,正常
上市,2021,1441,大東,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1442,名軒,22.93,母公司,,0.0,,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1443,立益物流,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1444,力麗,129795.75,力麗化纖總廠,ISO 9001,60693.04,力麗化纖總廠,ISO 9001,0.0,,,0.4003,產品,0,無漂綠跡象,高風險,正常
上市,2021,1445,大宇,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1446,宏和,0.0,,,276.9,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1447,力鵬,94305.5,母公司楊梅廠及尼龍廠,ISO 9001,144960.7,母公司楊梅廠及尼龍廠,ISO 9001,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1449,佳和,7735.997,母公司,,67643.234,母公司,,0.0,,,8.024,產品,0,無漂綠跡象,高風險,正常
上市,2021,1451,年興,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1452,宏益,9.765,包含合併財務報表之母子公司,,26761.62,包含合併財務報表之母子公司,,0.0,,,0.9389,產品,0,無漂綠跡象,高風險,正常
上市,2021,1453,大將,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1454,台富,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1455,集盛,36994.75,母公司之5個紡織製品製造廠區,ISO 9001,151731.04,母公司之5個紡織製品製造廠區,ISO 9001,23895.34,母公司之5個紡織製品製造廠區,ISO 9001,0.81,產品,0,無漂綠跡象,高風險,正常
上市,2021,1456,怡華,7735.997,台南官田廠,,67643.234,台南官田廠,,0.0,,,8.024,服務,0,無漂綠跡象,高風險,正常
上市,2021,1457,宜進,18.0,僅母公司,,59.0,僅母公司,,0.0,,,3.85,員工人數,0,無漂綠跡象,高風險,正常
上市,2021,1459,聯發,0.0,工廠,,28659.0,工廠,,0.0,,,1.1885,產品,0,無漂綠跡象,高風險,正常
上市,2021,1460,宏遠,75930.54,母公司,ISO 9001,62616.83,母公司,ISO 9001,0.0,,,9.09,產品,0,無漂綠跡象,高風險,正常
上市,2021,1463,強盛新,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1464,得力,38863.84,僅母公司,ISO 9001,32999.01,僅母公司,ISO 9001,0.0,,,13.54,產品,0,無漂綠跡象,高風險,正常
上市,2021,1465,偉全,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1466,聚隆,0.0,母公司,,50952.99,母公司(電力),,0.0,,,3.37,產品,0,無漂綠跡象,高風險,正常
上市,2021,1467,南緯,0.0,,,444.753,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1468,昶和,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1470,大統新創,35668.0,合併財務報表之母子公司之桃園廠區,,6331.0,合併財務報表之母子公司之桃園廠區,,0.0,,,5.8,產量,0,無漂綠跡象,高風險,正常
上市,2021,1471,首利,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1472,三洋實業,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1473,台南,7001.09,包含合併財務報表之母子公司,,6442.34,包含合併財務報表之母子公司,,0.0,,,0.0007,產品,0,無漂綠跡象,高風險,正常
上市,2021,1474,弘裕,4088.0,母公司,,16057.0,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1475,業旺,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1476,儒鴻,30530.355,包含合併財務報表之母子公司,ISO 9001,96382.2382,包含合併財務報表之母子公司,ISO 9001,2570.838,包含合併財務報表之母子公司,ISO 9001,0.0035,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1477,聚陽,0.0,台北總公司,ISO 9001,638.24,台北總公司,ISO 9001,0.0,,ISO 9001,0.0221,營業額(百萬元),0,無漂綠跡象,高風險,正常
上市,2021,1503,士電,2087.88,環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。,,18949.09,環境面資訊以母公司之電裝廠、新豐廠、重電廠為主， 不包含台北總公司。,,0.0,,,0.7597,百萬元營業額,0,無漂綠跡象,高風險,正常
上市,2021,1504,東元,19905.2541,台灣所有廠區,ISO 9001,27000.6547,台灣所有廠區,ISO 9001,22735295.01,「上游運輸及配送」以2021東元台灣廠區採購量計算、「採購商品與服務」以2021東元台灣及大陸廠區採購量計算、「營運產生之廢棄物」以2021東元廠區廢棄物產生量計算、「銷售產品之使用」依據2021年全球銷售馬達數量計算  ，其中銷售產品之使用採估算，未經BSI查證 ；其餘皆經查證。,ISO 9001,2.04,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1506,正道,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1512,瑞利,2228.0,母公司,,0.0,,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1513,中興電,406.536,母公司110年度,,5044.55,母公司110年度,,0.0,,,0.3024,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1514,亞力,0.0,,,2136.5662,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1515,力山,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1516,川飛,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1517,利奇,5870.0,母公司,,0.0,,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1519,華城,375.4879,僅母公司,,4576.8674,僅母公司,,91.5922,僅母公司,,0.8025,產品,0,無漂綠跡象,高風險,正常
上市,2021,1521,大億,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1522,堤維西,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1524,耿鼎,0.0,母公司,,7074.518,母子公司,,0.0,,,0.6102,產能總重,0,無漂綠跡象,高風險,正常
上市,2021,1525,江申,991.0,僅母公司,,2742.0,僅母公司,,0.0,,,2.93,百萬元營業額,0,無漂綠跡象,高風險,正常
上市,2021,1526,日馳,159.36,母公司,,1132.61,母公司,,0.0,,,0.987,營運成本新台幣仟元為單位,0,無漂綠跡象,高風險,正常
上市,2021,1527,鑽全,0.0,,,11648.9,全公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1528,恩德,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1529,樂事綠能,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1530,亞崴,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1531,高林股,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1532,勤美,3715.126,勤美金屬成型事業處,ISO 9001,19223.321,勤美金屬成型事業處,ISO 9001,32732.667,勤美金屬成型事業處,ISO 9001,1.0058,產品,0,無漂綠跡象,高風險,正常
上市,2021,1533,車王電,1947.633,母公司,,1833.5291,母公司,,0.0,,,1948.0,產值,0,無漂綠跡象,高風險,正常
上市,2021,1535,中宇,0.0,,,265.917,僅母公司,,164.346,僅母公司,,0.56,坪,0,無漂綠跡象,高風險,正常
上市,2021,1536,和大,1681.1321,僅母公司,ISO 9001,45534.3073,僅母公司,ISO 9001,10234.9942,僅母公司,ISO 9001,3.6494,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1537,廣隆,4684.15,包含合併財務報表之母子公司,,51375.48,包含合併財務報表之母子公司,,0.0,,,103.42,仟元營業額/噸,0,無漂綠跡象,高風險,正常
上市,2021,1538,正峰,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1539,巨庭,88.37,母公司,,967.38,母公司,,0.0,,,1055.75,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1540,喬福,6.88,個體公司,,117.97,個體公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1541,錩泰,2239.0,僅母公司,,5186.0,僅母公司,,0.0,,,0.0012,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1558,伸興,2120.0,合併財務報表之母子公司,,18492.0,合併財務報表之母子公司,,113302.0,合併財務報表之母子公司,,0.0054,產品,0,無漂綠跡象,高風險,正常
上市,2021,1560,中砂,4055.13,母公司,ISO 9001,40397.29,母公司,ISO 9001,0.0,,,8.13,百萬元營業額,0,無漂綠跡象,高風險,正常
上市,2021,1568,倉佑,105.9379,僅母公司,,4615.9603,僅母公司,,0.0,,,3.9484,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1582,信錦,0.0,,,201.0,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1583,程泰,128.43,母公司,,2201.0,母公司,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1587,吉茂,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1589,永冠-KY,4934.01,合併財務報表之子公司,,127868.18,合併財務報表之子公司,,0.0,,,0.64,產品,0,無漂綠跡象,高風險,正常
上市,2021,1590,亞德客-KY,8227.0,包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量,,125129.0,包含集團全部的三個生產工廠，已涵蓋集團90%以上之排放量,,0.0,,,8.4445,每百萬元產值,0,無漂綠跡象,高風險,正常
上市,2021,1597,直得,97.43,母公司,,4787.7,母公司,,960.68,母公司,,15.3,每百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1598,岱宇,434.68,本公司彰化一廠、二廠與五廠,,1848.44,本公司彰化一廠、二廠與五廠,,0.0,,,0.0003,營業額仟元,0,無漂綠跡象,高風險,正常
上市,2021,1603,華電,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1604,聲寶,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1605,華新,201262.02,臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,ISO 9001,414803.74,臺灣區：楊梅廠、新莊廠、鹽水廠、臺中廠。 海外區：東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密,ISO 9001,2408341.62,母公司,ISO 9001,0.46,產品,0,無漂綠跡象,高風險,正常
上市,2021,1608,華榮,1298.3,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,,15564.2,涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區,,0.0,,,2.3,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1609,大亞,2233.05,大亞電線電纜,,21978.5,大亞電線電纜,,0.0,,,1.78,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1611,中電,87.0199,工廠,,468.46,工廠,,0.0,,,0.0,,0,無漂綠跡象,高風險,正常
上市,2021,1612,宏泰,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1614,三洋電,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1615,大山,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1616,億泰,4945.0,母公司,,0.0,,,0.0,,,1.65,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1617,榮星,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1618,合機,0.0,,,0.0,,,0.0,,,0.0,,0,可能漂綠,高風險,正常
上市,2021,1626,艾美特-KY,595.35,主要生產公司深圳艾美特,ISO 14001,19727.56,主要生產公司深圳艾美特,ISO 14001,0.0,,,20322.9,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1702,南僑,74520.9,範疇一資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,,105527.38,範疇二資訊涵蓋台灣、中國大陸、泰國地區之製造單位及台灣、中國大陸餐飲事業,,0.0,,,9.07,營業額,0,無漂綠跡象,高風險,正常
上市,2021,1707,葡萄王,3862.04,葡萄王生技、葡眾企業,,14829.39,葡萄王生技、葡眾企業,,0.0,,,3.47,產品,0,無漂綠跡象,高風險,正常
上市,2021,1708,東鹼,23680.4553,僅母公司,,7499.9909,僅母公司,,0.0,,,6.5,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1709,和益,67429.0078,僅母公司林園工廠,ISO 14001,23049.7314,僅母公司林園工廠,ISO 14001,0.0,,,13.7,百萬營業額,0,無漂綠跡象,高風險,正常
上市,2021,1710,東聯,40762.39,母公司,ISO 9001,312448.93,母公司,ISO 9001,72656.7351,母公司,ISO 9001,0.024,營業額；單位：t-CO2e / 仟元,0,無漂綠跡象,高風險,正常
上市,2021,1711,永光,19141.06,合併財務報表之母子公司生產型廠區,ISO 14001,63671.7,合併財務報表之母子公司生產型廠區,ISO 14001,0.0,,,8.9,百萬元產值,0,無漂綠跡象,高風險,正常
上市,2021,1712,興農,6354.38,母公司王田廠區(王田廠、王田二廠、生物工廠),,19878.0,母公司王田廠區(王田廠、王田二廠、生物工廠),,0.0,,,2.4,植物保護產品佰萬元銷售額,0,無漂綠跡象,高風險,正常
上市,2021,1713,國化,4464.286,屏南分公司,,2907.0,屏南分公司,,0.0,,,7371.0,範疇一+範疇二,0,無漂綠跡象,高風險,正常
上市,2021,1714,和桐,12394.1946,高雄仁武廠,,3057.9235,高雄仁武廠,,0.0,,,0.51,產品,0,無漂綠跡象,高風險,正常
上市,2021,1717,長興,36338.0,母公司(台灣三廠區),ISO 9001,40907.0,母公司(台灣三廠區),ISO 9001,462852.0,母公司(台灣三廠區),ISO 9001,0.3901,產品(公噸),0,無漂綠跡象,高風險,正常
上市,2021,1718,中纖,429277.6562,僅母公司,ISO 9001,13399.468,僅母公司,ISO 9001,0.0,,,0.772,營業額573445.0898萬元,0,無漂綠跡象,高風險,正常
