市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1339,昭輝,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1340,勝悅-KY,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1341,富林-KY,50.2919,生物質 能源(壓榨稻殼)，生物質 能源(壓榨稻殼),ISO 14001,0.0012067578439259854,可能漂綠,低風險,正常
上市,2021,1342,八貫,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1402,遠東新,1.1,統計範疇共21個生產據點,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1409,新纖,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1410,南染,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1413,宏洲,0.0,僅母公司,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
上市,2021,1414,東和,0.0,本公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1416,廣豐,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1417,嘉裕,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1418,東華,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1419,新紡,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1423,利華,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1432,大魯閣,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1434,福懋,0.0,nan,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1435,中福,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1436,華友聯,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1437,勤益控,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1438,三地開發,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1439,雋揚,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1440,南紡,0.0,nan,ISO 9001,0.0012067578439259854,無漂綠跡象,低風險,正常
上市,2021,1441,大東,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1442,名軒,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1443,立益物流,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1444,力麗,0.06,母公司各廠區,Unknown,0.0008045052292839903,無漂綠跡象,高風險,正常
上市,2021,1445,大宇,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1446,宏和,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1447,力鵬,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1449,佳和,0.0,母公司,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1451,年興,17.5821,2021年母公司。,Unknown,0.0012067578439259854,無漂綠跡象,高風險,正常
上市,2021,1452,宏益,0.0,包含合併財務報表之母子公司,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1453,大將,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1454,台富,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1455,集盛,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
