市場別,報告年度,公司代號,公司名稱,法說會次數,治理專區連結,網絡中心性,風險等級,異常標籤
上市,2021,1446,宏和,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1447,力鵬,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1449,佳和,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1451,年興,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1452,宏益,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1453,大將,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1454,台富,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1455,集盛,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1456,怡華,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1457,宜進,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1459,聯發,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1460,宏遠,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1463,強盛新,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1464,得力,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1465,偉全,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1466,聚隆,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1467,南緯,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1468,昶和,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1470,大統新創,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1471,首利,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1472,三洋實業,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1473,台南,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1474,弘裕,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1475,業旺,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1476,儒鴻,6.0,0,0.0005330490405117271,中風險,正常
上市,2021,1477,聚陽,31.0,0,0.0005330490405117271,高風險,異常
上市,2021,1503,士電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1504,東元,13.0,0,0.0005330490405117271,高風險,異常
上市,2021,1506,正道,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1512,瑞利,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1513,中興電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1514,亞力,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1515,力山,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1516,川飛,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1517,利奇,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1519,華城,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1521,大億,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1522,堤維西,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1524,耿鼎,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1525,江申,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,1526,日馳,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1527,鑽全,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1528,恩德,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,1529,樂事綠能,1.0,0,0.0005330490405117271,低風險,正常
