"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""1314""","中石化","37627.0000","18552.0000","56179.0000","母公司","2.2446","百萬元營業額","ISO 9001"
"=""1315""","達新","0.0000","103.0000","103.0000","母公司","無，無統計相關數據","",""
"=""1316""","上曜","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1319""","東陽","382.0000","3320.0000","3702.0000","母公司","0.2357","百萬元營業額",""
"=""1321""","大洋","11.3200","633.9300","645.2500","母公司","0.0043","產品",""
"=""1323""","永裕","0.0000","229.1400","229.1400","永裕塑膠:96.65噸 上海永裕:129.84噸 威瑪精密:2.65噸","0.0001","母公司永裕塑膠96.65噸/1,816,611千元營業額=0.00005",""
"=""1324""","地球","86.0900","69.6200","155.7100","母公司(幼一二廠)","0.1584","百萬元營業額","ISO 14001"
"=""1325""","恆大","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1326""","台化","73.0000","223242.0000","223315.0000","111年母公司及台醋公司之台灣廠區","90.2800","營業額億元","ISO 14001"
"=""1337""","再生-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1338""","廣華-KY","355.9200","1035.7200","1391.6400","僅重要子公司東莞廣澤汽車飾件有限公司","0.0090","建築面積",""
"=""1339""","昭輝","155.3100","18.4200","173.7300","母公司","無，無統計相關數據","",""
"=""1340""","勝悅-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1341""","富林-KY","580.2200","6696.2510","7276.4710","越南子公司","0.5230","產品","ISO 14001"
"=""1342""","八貫","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1402""","遠東新","12138.0000","178072.0000","190210.0000","生產事業21個生產據點","0.0272","產品","ISO 14001"
"=""1409""","新纖","0.0000","0.0000","5935.1100","新光合纖中壢廠","無，無統計相關數據","",""
"=""1410""","南染","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1413""","宏洲","155.0800","48.6100","203.6900","宏洲纖維工業股份有限公司桃園工廠","0.0647","百萬元營業額",""
"=""1414""","東和","0.0000","800.5700","800.5700","本公司","無，無統計相關數據","",""
"=""1416""","廣豐","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1417""","嘉裕","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1418""","東華","252.7600","122.8200","375.5800","111年委託清除處理量(非經常性產出之事業廢棄物)","無，無統計相關數據","",""
"=""1419""","新紡","0.0000","106.9396","106.9396","生產單位","0.0000","產品",""
"=""1423""","利華","0.0000","2.0200","2.0200","母公司","0.0000","營業額",""
"=""1432""","大魯閣","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1434""","福懋","2508.4100","17143.5800","19651.9900","台灣廠區","0.7500","百萬元營業額",""
"=""1435""","中福","無，無生產活動","無，無生產活動","無，無生產活動","","無，無生產活動","",""
"=""1436""","華友聯","0.0000","0.0000","2935.0000","僅母公司","無，無統計相關數據","",""
"=""1437""","勤益控","無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料","無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料","無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料","","無，公司位置在辦公室大樓，多為生活垃圾，無實際用廢棄物資料","",""
"=""1438""","三地開發","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1439""","雋揚","0.0000","0.0000","2.5129","母公司","無，無統計相關數據","",""
"=""1440""","南紡","47.5200","456.2400","503.7600","母公司生產廠區","0.0450","百萬元營業額","ISO 14001"
"=""1441""","大東","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1442""","名軒","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1443""","立益物流","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1444""","力麗","0.0000","3082.0000","3082.0000","母公司各廠區","無，無統計相關數據","","ISO 14001"
"=""1445""","大宇","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1446""","宏和","0.0000","8.5800","8.5800","母公司","0.0001","千元營業額",""
"=""1447""","力鵬","203.0000","8565.0000","8768.0000","廠區","無，無統計相關數據","","ISO 14001"
"=""1449""","佳和","0.0000","380.7000","380.7000","母公司","0.1500","產品",""
"=""1451""","年興","7051.0000","7250.0000","14301.0000","包含合併財務報表之母子公司","0.0016","千元營業額",""
"=""1452""","宏益","0.0000","10.8100","10.8100","包含合併財務報表之母子公司","0.0005","每公噸產品",""
"=""1453""","大將","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1454""","台富","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1455""","集盛","0.0000","1494.3000","1494.3000","母公司之五個製造廠區。","0.0087","產品",""
"=""1456""","怡華","0.0000","132.0000","132.0000","台南官田廠","0.0130","服務",""
"=""1457""","宜進","0.0000","0.0000","2.7840","宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司","0.0028","百萬元營業額",""
"=""1459""","聯發","0.0000","64.7500","64.7500","工廠","0.0033","產品",""
"=""1460""","宏遠","0.0000","10030.5900","10030.5900","母公司","無，無統計相關數據","",""
"=""1463""","強盛新","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1464""","得力","0.0000","3811.4200","3811.4200","僅母公司","0.8748","百萬元營業額","ISO 14001"
"=""1465""","偉全","無，NA","無，NA","無，NA","","無，NA","",""
"=""1466""","聚隆","0.0000","250.0000","250.0000","母公司","0.0089","百萬元營業額",""
"=""1467""","南緯","0.0320","25.7280","25.7600","母公司","無，無統計相關數據","",""
"=""1468""","昶和","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1470""","大統新創","0.0000","1281.0000","1281.0000","合併財務報表之母子公司之桃園廠區","0.2400","產量(公噸)",""
"=""1471""","首利","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1472""","三洋實業","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，尚未訂定","",""
"=""1473""","台南","685.5300","1149.1500","1834.6800","包含合併財務報表之母子公司","0.0001","產品",""
"=""1474""","弘裕","0.0000","732.0000","732.0000","母公司","0.2900","百萬元營業額",""
"=""1475""","業旺","無，詳年報說明","無，詳年報說明","無，詳年報說明","","無，詳年報說明","",""
"=""1476""","儒鴻","0.0000","0.0000","12181.0810","包含合併財務報表之母子公司","0.0003","百萬元營業額",""
"=""1477""","聚陽","78.0000","2862.0000","2940.0000","範圍含聚陽股份有限公司(總公司)、Leader Garments Corp.、Moha Garments Co., Ltd.、Triple Garment(Vietnam) Co., Ltd.、Makalot Garments(Vietnam) Co., Ltd.、Makalot Garments(Cambodia) Co., Ltd.、PT. Glory Industrial Semarang、 PT. Starlight Garment Semarang、Leader Garment(Vietnam) Co., Ltd.、Jiaxing Ruiyang Garment Co., Ltd、Jiaxing Rising Garment Co.,Ltd、Jiaxing Suntex Garment Co.,Ltd","0.0900","百萬元營業額","ISAE3000"
"=""1503""","士電","2.0000","986.8400","988.8400","揭露範疇涵蓋士電台灣營運地區，包含台北總部及四大事業群(重電事業群、電裝品事業群、機器事業群與自動化事業群)但揭露範疇不包含合併報表之子公司及海外據點。","無，無統計相關數據","",""
"=""1504""","東元","0.0000","1981.2600","1981.2600","台灣所有廠區","11.5000","百萬元營業額","ISO 14001"
"=""1506""","正道","2.2300","839.8300","842.0600","僅母公司","0.9133","百萬元營業額",""
"=""1512""","瑞利","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1513""","中興電","0.0000","0.0000","416.8362","母公司111年度","0.0225","百萬元營業額",""
"=""1514""","亞力","0.0000","115.7600","115.7600","母公司","無，無統計相關數據","",""
"=""1515""","力山","19.1400","40.3600","59.5000","僅母公司","0.0130","百萬元營業額",""
"=""1516""","川飛","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1517""","利奇","0.0000","592.8791","592.8791","廢紙、廢木材棧板、廢塑膠、廢鐵、廢潤滑油、廢無機性污泥、廢橡膠或其混合物","0.1539","百萬元營業額",""
"=""1519""","華城","0.0000","0.0000","1046.4560","僅母公司","0.1442","百萬元營業額","ISO 14001"
"=""1521""","大億","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1522""","堤維西","0.0000","620.1500","620.1500","111年廢棄物聯單系統","5.3800","億元營收","ISO 14001"
"=""1524""","耿鼎","0.0000","219.9900","219.9900","母公司","0.0149","產品",""
"=""1525""","江申","0.0000","188.3500","188.3500","僅母公司","0.1250","百萬元營業額",""
"=""1526""","日馳","0.0000","0.0000","67.3400","母公司","無，無統計相關數據","",""
"=""1527""","鑽全","0.0000","40.6300","40.6300","全公司","40.6300","千元營業額","ISO 14001"
"=""1528""","恩德","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1529""","樂事綠能","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1530""","亞崴","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1531""","高林股","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1532""","勤美","4.2900","5549.4800","5553.7700","勤美股份有限公司金屬成型事業處","0.3419","產品","ISO 14001：2015"
"=""1533""","車王電","1.3900","118.5100","119.9000","母子(孫)公司","119.9000","千元營業額","ISO 14001"
"=""1535""","中宇","0.0000","12.0500","12.0500","包含合併財務報表之母子公司","0.0136","千萬元營業額",""
"=""1536""","和大","0.0000","0.0000","554.8700","僅母公司","0.0760","百萬元營業額","ISO 14001"
"=""1537""","廣隆","2491.0000","1089.0000","3580.0000","含合併財務報表之母子公司","無，無統計相關數據","",""
"=""1538""","正峰","0.0000","15.1000","15.1000","母公司","無，無統計相關數據","",""
"=""1539""","巨庭","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1540""","喬福","0.0000","0.0000","0.0000","母公司","無，無統計相關數據","",""
"=""1541""","錩泰","5.0000","93.0000","98.0000","僅母公司","0.0241","百萬元營業額",""
"=""1558""","伸興","0.0000","0.0000","920.0000","合併財務報表之母子公司","0.0004","產品","ISO 14001"
"=""1560""","中砂","21.4000","1540.4550","1561.8550","母公司","0.2600","營業額","ISO 14001"
"=""1568""","倉佑","6.6500","580.3050","586.9550","僅母公司","0.4351","百萬營業額","ISO 14001"
"=""1582""","信錦","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1583""","程泰","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1587""","吉茂","7735.0000","46900.0000","54635.0000","111年","無，無統計相關數據","",""
"=""1589""","永冠-KY","37184.4100","403.0860","37587.4960","合併財務報表之母子公司","4.0055","百萬元營業額","ISO 14001"
"=""1590""","亞德客-KY","4866.1900","14843.1700","19709.3600","包含集團全部生產工廠，已涵蓋集團95%以上之廢棄物量","1.2300","每百萬元產值",""
"=""1597""","直得","0.0000","334.5330","334.5330","母公司","0.2350","百萬元營業額","ISO 14001"
"=""1598""","岱宇","0.0000","0.0000","57.0200","彰化一廠、二廠及五廠","0.0210","百萬元營業額",""
"=""1603""","華電","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1604""","聲寶","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1605""","華新","0.0000","0.0000","234352.8800","楊梅廠、新莊廠、鹽水廠、臺中廠。東莞華新、江陰華新、江陰合金、上海華新、煙台華新、常熟華新、華新精密","0.1800","產品","ISO 14001"
"=""1608""","華榮","13.9000","479.4900","493.3900","涵蓋範圍僅限華榮電線電纜股份有限公司高楠工廠廠區","0.0622","百萬元營業額","ISO 14001"
"=""1609""","大亞","343.0000","2472.0000","2815.0000","大亞集團","0.1052","百萬元營業額",""
"=""1611""","中電","3.6000","21.1100","24.7100","工廠","無，無統計相關數據","","ISO 14001"
"=""1612""","宏泰","131.6700","257.2300","388.9000","僅母公司","0.0609","百萬元營業額","ISO 14001"
"=""1614""","三洋電","0.0000","0.0000","72.0000","母子公司","0.0117","百萬元營業額",""
"=""1615""","大山","0.0000","102.9400","102.9400","111年度","0.0257","百萬元營業額",""
"=""1616""","億泰","0.0000","141.0000","141.0000","母公司","0.0000","千元營業額",""
"=""1617""","榮星","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""1618""","合機","0.0000","490.0100","490.0100","母公司(不含子公司)","0.1711","百萬元營業額","ISO 14001"
"=""1626""","艾美特-KY","114.6700","21.0000","135.6700","營運地深圳艾美特+九江艾美特","135.6700","百萬元營業額",""
"=""1702""","南僑","35.0000","14104.0000","14139.0000","台灣、中國大陸、泰國地區之製造單位及餐飲事業","0.6904","百萬元營業額",""
"=""1707""","葡萄王","10.8100","2815.1010","2825.9110","葡萄王生技","0.2720","百萬元營業額","ISO 14001"
"=""1708""","東鹼","0.0000","874.6200","874.6200","僅母公司","5.0000","公噸/每人/年","ISO 14001"
