"報告年度:2022","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物量(公噸)-有害廢棄物量(公噸)","非有害廢棄物(公噸)-非有害廢棄物(公噸)","總重量(有害+非有害)(公噸)-總重量(有害+非有害)(公噸)","資料範圍-資料範圍","廢棄物密集度-密集度(公噸/單位)","廢棄物密集度-單位","取得驗證-取得驗證"
"=""2028""","威致","20830.0000","129025.0000","149855.0000","個別公司","無，無統計相關數據","",""
"=""2029""","盛餘","6.8000","1540.0900","1546.8900","統計2022年有害/一般污泥產出量","4.2140","產品",""
"=""2030""","彰源","0.0000","0.0000","330.6100","一廠、二廠、三廠、大連廠、元山廠、元富廠、員製課、南營部、北營部","0.0023","生產量","ISO 14001"
"=""2031""","新光鋼","0.0000","179.1339","179.1339","事業廢棄物(含生活垃圾)","0.0124","百萬元營業額",""
"=""2032""","新鋼","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2033""","佳大","1003.9500","158.7900","1162.7400","母公司","1.4341","百萬元營業額",""
"=""2034""","允強","350.3000","772.2300","1122.5300","僅母公司所有廠區","0.0092","產品","ISO 14001"
"=""2038""","海光","5733.4200","39692.8500","45426.2700","有害：集塵灰產出 非有害：氧化碴、還原碴產出","4.1100","百萬元營業額",""
"=""2049""","上銀","349.0000","11245.0000","11594.0000","包含上銀科技股份有限公司(營運總部、台中廠區、雲林廠區及嘉義廠區)","0.5200","百萬元營業額","ISO 14001:2015"
"=""2059""","川湖","44.8800","257.9600","302.8400","母公司及子公司川益科技(股)公司兩個廠區","0.0167","千組產品","ISO 14001"
"=""2062""","橋椿","100.1100","1179.1200","1279.2300","母公司","0.3900","產品","GRI準則"
"=""2069""","運錩","0.0000","25.3200","25.3200","僅母公司所有廠區","無，無統計相關數據","","ISO 14001"
"=""2101""","南港","0.0000","0.0000","2570.4700","企業永續報告書(111年總量)","0.0835","產品","ISO 14001"
"=""2102""","泰豐","0.0000","995.7600","995.7600","僅母公司","0.0750","每噸產品",""
"=""2103""","台橡","2144.6300","3260.0000","5404.6300","合併財務報表之母子公司","10.0100","每千噸產品產量","中華民國會計研究發展基金會所發佈確信準則公報3000號進行SASB指標之有限確信"
"=""2104""","國際中橡","181.5000","1312.7000","1494.2000","國際中橡100%持有之子公司林園先進。","0.0100","產品",""
"=""2105""","正新","1.3400","2991.5000","2992.8400","母公司","0.0200","產品",""
"=""2106""","建大","0.0000","0.0000","2168.2600","台灣地區","0.0561","百萬元營業額","ISO 14001"
"=""2107""","厚生","0.0000","160.5000","160.5000","厚生 桃園廠","0.0830","百萬元營業額",""
"=""2108""","南帝","22.8200","1604.4500","1627.2700","僅母公司","12.0745","產量千噸",""
"=""2109""","華豐","0.0000","458.6600","458.6600","一般事業廢棄物及廢橡膠總量","0.0800","百萬元營業額","ISO 14001"
"=""2114""","鑫永銓","0.0000","633.0000","633.0000","母公司","無，無統計相關數據","",""
"=""2115""","六暉-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2201""","裕隆","18.1070","2531.1700","2549.2770","裕隆汽車製造(股)公司三義廠區","0.1138","百萬營業額",""
"=""2204""","中華","44.8442","4513.7300","4558.5742","楊梅廠+新竹廠","0.0362","產品為楊梅廠+新竹廠年車輛生產台數總量","ISO 14001"
"=""2206""","三陽工業","0.0000","8737.6300","8737.6300","母公司(新竹廠)","0.2435","百萬元營業額",""
"=""2207""","和泰車","0.0000","0.0000","76.5000","母公司","0.1360","人數",""
"=""2208""","台船","609.9100","2695.5200","3305.4300","台船高雄廠","3305.4300","22,753,512仟元產值",""
"=""2211""","長榮鋼","0.0000","8445.8900","8445.8900","僅母公司(長榮鋼鐵)","0.7383","百萬元營業額",""
"=""2227""","裕日車","0.0000","0.0000","64.1000","母公司","0.1750","人均生活廢棄物產出量(公噸/年-人)","ISO 14001"
"=""2228""","劍麟","22.4300","182.8800","205.3100","僅母公司","0.1255","百萬元營業額","ISO 14001"
"=""2231""","為升","5023.0000","28649.7100","33672.7100","無資料","無，無統計相關數據","",""
"=""2233""","宇隆","87.8700","313.0000","400.8700","僅母公司","無，無統計相關數據","",""
"=""2236""","百達-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2239""","英利-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2241""","艾姆勒","35.7050","55.7830","91.4880","母公司","0.0001","產品",""
"=""2243""","宏旭-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2247""","汎德永業","0.0000","0.0000","503.2600","合併財報之母子公司","0.0114","百萬元營業額",""
"=""2250""","IKKA-KY","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2301""","光寶科","2575.0000","4821.0000","7396.0000","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","0.1770","百萬元營業額","ISO 14001"
"=""2302""","麗正","1.0200","35.6930","36.7130","母子公司","0.1177","產品","ISO 14001"
"=""2303""","聯電","25146.0000","20686.0000","45832.0000","母公司(含新加坡分公司)","0.1840","wafer-m2","ISO 14001"
"=""2305""","全友","0.0000","1.8000","1.8000","母公司","0.0144","百萬元營業額",""
"=""2308""","台達電","6390.0000","47772.0000","54162.0000","全球據點","4.9300","產值(單位：百萬美金)","UL2799、ISO14001"
"=""2312""","金寶","3872.3100","15202.8900","19075.2000","合併財務報表之母子公司","0.1100","百萬元營業額",""
"=""2313""","華通","11668.3000","3039.5000","14707.8000","111年度","1.2400","百萬元營業額",""
"=""2314""","台揚","8.1800","60.7415","68.9215","111年2月至112年1月","0.0153","百萬元營業額","ISO 14001"
"=""2316""","楠梓電","2046.6900","1086.0500","3132.7400","僅母公司","0.0018","產品",""
"=""2317""","鴻海","141950.0000","676503.0000","818453.0000","包含合併財務報表母子公司","0.1200","百萬元營業額","ISO 9001、ISO 14001、UL 2799"
"=""2321""","東訊","0.0000","9.9800","9.9800","生活垃圾+一般事業廢棄物(包含政策性成品報廢數量)","79.0000","產品",""
"=""2323""","中環","27.4740","136.5360","164.0100","111/01/01~111/12/31","0.0482","百萬元營業額",""
"=""2324""","仁寶","1002.2000","8321.5000","9323.7000","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio","0.0087","百萬元營業額","UL2799：仁寶信息技術(昆山)"
"=""2327""","國巨","5143.0100","3954.3400","9097.3500","母公司","2.2600","百萬營業額","ISO 14001"
"=""2328""","廣宇","0.0000","8.6000","8.6000","母公司","0.0007","百萬元營業額",""
"=""2329""","華泰","173.9600","2317.4000","2491.3600","2022.01.01~2022.12.31","0.1600","百萬元營業額",""
"=""2330""","台積電","401215.0000","342804.0000","744019.0000","台灣廠區及部分子公司","0.9900","單位晶圓委外廢棄物處理量（公斤／十二吋晶圓當量- 光罩數）","UL2799"
"=""2331""","精英","0.0000","104.7900","104.7900","精英電腦臺灣總部大樓； 精英電腦臺灣總部大樓為辦公大樓，無生產製造場所，故廢棄物來源為一般生活廢棄物，無有害事業廢棄物。","0.1462","104.79公噸/717人；精英總部大樓2022年人均生活廢棄物產生量為146.15公斤/人.年；精英總部大樓總垃圾量104.79公噸, 資源回收量19.27公噸",""
"=""2332""","友訊","0.0000","0.0000","12.9800","僅母公司大樓","0.0300","員工人數",""
"=""2337""","旺宏","6954.0000","4349.0000","11303.0000","旺宏總部、晶圓二廠、晶圓五廠、測試廠","0.2600","百萬元營業額",""
"=""2338""","光罩","73.0500","40.5300","113.5800","僅母公司","無，無統計相關數據","",""
"=""2340""","台亞","342.4000","428.8200","771.2200","創新廠及力行廠","0.1700","百萬元營業額","ISO 14001"
"=""2342""","茂矽","275.0000","217.0000","492.0000","僅母公司","0.0456","產品",""
"=""2344""","華邦電","4608.0000","4976.0000","9584.0000","母公司","無，本公司採取製程化學品減量、延長化學品使用週期與零配件更換時間等源頭改善方式，降低廢棄物產生量；再透過確實分類收集，提高廢棄物回收可行性，並訂定關鍵績效指標（KPI）廢棄物回收率。111年廢棄物回收率為90.1%，符合自訂目標值90%以上之回收率。","","ISO 14001"
"=""2345""","智邦","6.2000","1603.2000","1609.4000","母公司。","0.0208","百萬元營業額",""
"=""2347""","聯強","0.0000","200.0000","200.0000","僅母公司","0.0001","服務","ISO 14001"
"=""2348""","海悅","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2349""","錸德","0.0000","0.0000","179.8500","僅母公司","無，無統計相關數據","",""
"=""2351""","順德","1007.2050","548.1810","1555.3860","母公司","0.0002","千元營業額","ISO 14001"
"=""2352""","佳世達","877.4400","2648.7000","3526.1400","佳世達台灣/蘇州/越南廠區","0.8400","百萬元營業額","ISO 14001"
"=""2353""","宏碁","0.0000","0.0000","2164.6700","包含合併財務報表之母子公司","0.0079","百萬元營業額",""
"=""2354""","鴻準","1096.3000","5359.8000","6456.1000","鴻準集團主要廠區","0.0710","百萬元營業額","ISO9001；ISO14001"
"=""2355""","敬鵬","0.0000","0.0000","44767.7040","母公司+ 子公司 敬鵬(常熟)電子有限公司","0.0145","M2","ISO 14001"
"=""2356""","英業達","835.2500","26215.0700","27050.3200","英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)","5979.7500","公噸/千億營業額","ISO 14001"
"=""2357""","華碩","0.0000","0.0000","448.8140","華碩HQ","448.8140","千元營業額","ISO 14001"
"=""2359""","所羅門","0.0000","0.0000","51.7650","所羅門辦公大樓","無，只有生活廢棄物","",""
"=""2360""","致茂","27.2700","554.6300","581.9000","母公司及台灣地區分公司","0.0251","百萬元營業額","ISO 14001"
"=""2362""","藍天","48.3000","509.0000","557.3000","台北總部辦公室、主要製造廠：昆山廠","0.0296","百萬元營業額",""
"=""2363""","矽統","0.0000","0.0000","47.6830","廢棄物申報三聯單","無，無統計相關數據","",""
"=""2364""","倫飛","0.0000","13.6000","13.6000","僅本公司高雄廠資料","無，無統計相關數據","","ISO 14001"
"=""2365""","昆盈","2.4050","25.3870","27.7920","台北總公司及東莞廠","無，無統計相關數據","","ISO 14001"
"=""2367""","燿華","8270.0000","3138.0000","11408.0000","僅母公司","0.0030","產品",""
"=""2368""","金像電","0.0000","0.0000","67975.0000","母子公司","2.0734","百萬元營業額","ISO 45001"
"=""2369""","菱生","61.0258","882.1230","943.1488","111年1月~12月","0.2543","產品","ISO 14001"
"=""2371""","大同","8.3800","3207.4200","3215.8000","僅母公司","3215.8000","16,792,440千元營業額","ISO 14001"
"=""2373""","震旦行","0.0000","311.0660","311.0660","僅母公司","0.0001","千元營業額",""
"=""2374""","佳能","0.6000","42.0000","42.6000","111年度","0.0081","百萬元營業額","ISO 14001"
"=""2375""","凱美","0.0000","0.0000","93.4000","子公司","無，無統計相關數據","",""
"=""2376""","技嘉","141.5687","2073.2463","2214.8150","技嘉科技營運總部、桃園南平廠、中國東莞廠和中國寧波廠。","0.0206","百萬元營業額","ISO 14064-1：2018 類別4 營運廢棄物"
"=""2377""","微星","168.5740","5619.8400","5788.4140","5788.415","0.0321","百萬元營業額","ISO 14001"
"=""2379""","瑞昱","11.5527","20.3200","31.8727","包含瑞昱新竹營運總部","18.1800","億元營業額",""
"=""2380""","虹光","24.2002","15.3800","39.5802","母公司","0.0233","百萬元營業額",""
"=""2382""","廣達","2525.2880","100452.8769","102978.1649","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","無，無統計相關數據","","ISO 14001"
"=""2383""","台光電","19148.0400","10882.7100","30030.7500","合併財務報表之母子公司(不含美國子公司)","0.0008","千元營業額",""
"=""2385""","群光","0.0000","0.0000","4066.2700","群光電子(含海外各廠區，不含子公司)","0.0564","百萬元營業額","ISO 14001"
"=""2387""","精元","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2388""","威盛","0.0000","0.0000","32.6000","威盛台北總公司","0.0035","百萬元營業額","威盛台北總公司"
"=""2390""","云辰","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2392""","正崴","2047.0000","6701.0000","8748.0000","母公司及主要生產基地之子公司","0.0660","百萬元營業額","UL2799廢棄物零填埋認證"
"=""2393""","億光","141.9000","2265.1200","2407.0200","苗栗苑裡廠、苗栗銅鑼廠、蘇州吳江廠、廣東中山廠","無，無統計相關數據","",""
"=""2395""","研華","242.0500","1000.4800","1242.5300","邊界範疇包含研華台灣(瑞光、陽光、林口、東湖)、中國昆山廠區、日本廠區、韓國廠區、美國廠區及歐洲廠區","0.0180","百萬元營業額","AA1000"
"=""2397""","友通","3.5400","0.0000","3.5400","友通資訊之組織邊界設定以營運控制權為主，友通包括汐止遠雄總部、新店辦公室及桃園工廠。","無，無統計相關數據","",""
"=""2399""","映泰","無，無生產製造無有害或事業廢棄物。","無，無生產製造無有害或事業廢棄物。","無，無生產製造無有害或事業廢棄物。","","無，一般生活廢棄物法令無規範需統計。","",""
"=""2401""","凌陽","0.0000","0.0000","101.0300","僅母公司","0.1507","百萬元營業額","ISO 14001"
"=""2402""","毅嘉","125.2100","39.7900","165.0000","母公司","0.0322","百萬元營業額",""
"=""2404""","漢唐","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2405""","輔信","0.0000","0.0000","0.0580","母公司","無，無統計相關數據","",""
"=""2406""","國碩","16.3000","139.9000","156.2000","國碩二廠和國碩新豐廠","0.0002","千元營業額",""
"=""2408""","南亞科","17598.0000","6383.0000","23981.0000","母公司","0.0220","千顆晶粒","ISO 14001"
"=""2409""","友達","13397.1100","62806.9700","76204.0800","友達全球營運據點","0.0016","產品","ISO9001及 ISO14001"
"=""2412""","中華電","0.0000","0.0000","7133.0176","2022年ESG永續報告書","無，詳年報說明","","ISO 14001"
"=""2413""","環科","4.0000","10.0000","14.0000","母公司","0.0029","百萬元營業額",""
"=""2414""","精技","0.0000","2.1000","2.1000","僅母公司之文件(紙張)銷毀量","0.0095","億營業額",""
"=""2415""","錩新","2153.8200","68.2200","2222.0400","母公司+錩新科技(越南)公司","2222.0430","百萬元營業額",""
"=""2417""","圓剛","0.0000","13.0700","13.0700","母公司","無，詳年報說明","",""
"=""2419""","仲琦","139.5710","612.1050","751.6760","總部+海外據點(越南工廠)","1.8140","百萬元營業額","ISO9001/ISO14001"
"=""2420""","新巨","1.9900","23.9900","25.9800","五股廠、樹林廠、新豪廠","0.0800","百萬元營業額",""
"=""2421""","建準","43.4440","67.2400","110.6840","高雄總部及工廠、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp","0.0079","百萬元營業額","ISO 14001"
"=""2423""","固緯","0.6600","28.3600","29.0200","母公司","無，無統計相關數據","",""
"=""2424""","隴華","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2425""","承啟","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2426""","鼎元","384.4000","182.2000","566.6000","僅母公司","0.2570","百萬元營業額","ISO 14001"
"=""2427""","三商電","0.0000","0.0000","76.5460","桃園倉庫","0.1131","百萬元營業額",""
"=""2428""","興勤","376.3509","218690.8063","219067.1572","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","0.0225","KPCS產品",""
"=""2429""","銘旺科","0.0000","0.0000","21.6400","僅母公司","無，無統計相關數據","",""
"=""2430""","燦坤","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2431""","聯昌","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2432""","倚天酷碁-創","0.0000","0.0000","1.2700","僅申報公司","0.0000","百萬元營業額",""
"=""2433""","互盛電","0.0000","0.0000","78.2000","僅母公司","0.0001","千元營業額",""
"=""2434""","統懋","0.0000","12.0500","12.0500","母公司","0.2529","百萬元營業額",""
"=""2436""","偉詮電","0.0000","0.0000","1.8080","新竹廠區","0.0006","百萬元營業額","111年12月底進行ISO14001第三方外部驗證,112年3月取得ISO14001證書"
"=""2438""","翔耀","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2439""","美律","0.0000","0.0000","472.0179","母公司與部分合併財務報表之子公司","0.0133","百萬元營業額","ISO 14001"
"=""2440""","太空梭","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2441""","超豐","322.8135","1707.0724","2029.8859","公義廠及頭份廠","0.1273","百萬元營業額","ISO 14001"
"=""2442""","新美齊","0.0000","0.0000","2791.0000","111年新美齊新建工程建案","無，詳年報說明","",""
"=""2444""","兆勁","7.0000","140.0000","147.0000","母公司","0.0003","百萬元營業額","ISO 14001"
"=""2449""","京元電子","269.1000","2753.0000","3022.1000","包含合併財務報表之母子公司","8.1000","億元","ISO 14001"
"=""2450""","神腦","0.0000","27.1100","27.1100","新店總公司共10間辦公室","0.0779","公噸/人",""
"=""2451""","創見","0.0000","0.0000","216.8400","僅母公司","0.0179","百萬元營業額",""
"=""2453""","凌群","0.0000","0.0000","33.3700","母公司","0.0059","百萬元營業額",""
"=""2454""","聯發科","0.0000","0.0000","218.5500","僅母公司","0.0177","母公司員工人數",""
"=""2455""","全新","243.8400","42.7050","286.5450","平鎮廠、平鎮二廠","286.5450","產品",""
"=""2457""","飛宏","0.0000","0.0000","51.8000","台灣飛宏:林口總部+台南廠","0.0037","百萬元營業額","ISO 14001"
"=""2458""","義隆","0.0000","0.0000","60.2040","義隆電子(新竹、中和)、義晶、義碩、義傳","0.0820","每年每人","AA1000"
"=""2459""","敦吉","0.0000","0.0000","2.3000","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","無，無統計相關數據","",""
"=""2460""","建通","無，詳年報說明","無，詳年報說明","無，詳年報說明","","無，詳年報說明","",""
"=""2461""","光群雷","5.2300","43.8800","49.1100","僅母公司","0.0279","百萬元營業額",""
"=""2462""","良得電","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2464""","盟立","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2465""","麗臺","0.0240","0.0240","0.0480","工廠","無，無統計相關數據","",""
"=""2466""","冠西電","0.0000","0.0000","57.9700","母公司宜蘭廠","0.0001","仟元營業額",""
"=""2467""","志聖","0.0000","175.5850","175.5850","母公司","無，無統計相關數據","",""
"=""2468""","華經","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2471""","資通","0.0000","0.0000","0.0340","主要來源為辦公室廢紙。","無，無統計相關數據","",""
"=""2472""","立隆電","0.0000","0.0000","405.4000","立隆、立隆惠州、立隆蘇州","無，無統計相關數據","",""
"=""2474""","可成","60.7100","11587.5400","11648.2500","僅母公司台南廠區","1.5741","百萬元營業額","ISO 14001"
"=""2476""","鉅祥","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2477""","美隆電","0.2000","24.0850","24.2850","111/01/01~111/12/31 母公司","0.0075","千元營業額","ISO 14001"
"=""2478""","大毅","1670.9492","190.4500","1861.3992","母公司","0.3710","百萬元營業額","ISO 14001"
"=""2480""","敦陽科","0.0000","3.9800","3.9800","新竹總公司","0.0006","百萬元營業額",""
"=""2481""","強茂","81.0190","250.0075","331.0265","岡山廠","0.0374","營業額","ISO 14001"
"=""2482""","連宇","0.0000","1.2730","1.2730","母公司","無，無統計相關數據","","ISO 14001"
"=""2483""","百容","12.3000","90.0000","102.3000","僅母公司","無，無統計相關數據","",""
"=""2484""","希華","80.2100","38.3000","118.5100","母公司","0.0400","百萬元營業額",""
"=""2485""","兆赫","37.3420","70.1967","107.5387","僅母公司","0.0000","千元營業額","ISO 9001、ISO 14001"
"=""2486""","一詮","390.2445","81.2091","471.4536","母公司","0.0002","千元營業額","ISO 14001"
"=""2488""","漢平","0.6700","11.8300","12.5000","2022年委託公民營處理許可機構清除處理數量與回收業者處理之數量。","0.0041","百萬元營業額",""
"=""2489""","瑞軒","40.4400","3643.9000","3684.3400","包含合併財務報表之母子公司","0.2300","百萬元營業額",""
"=""2491""","吉祥全","0.0000","22.9000","22.9000","母子公司","無，無統計相關數據","",""
"=""2492""","華新科","3559.0000","6761.0000","10320.0000","母公司及主要生產基地之子公司(東莞/蘇州/廣州)","0.0135","產品","ISO 14001"
"=""2493""","揚博","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2495""","普安","0.4900","0.0000","0.4900","僅母公司","無，無統計相關數據","",""
"=""2496""","卓越","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2497""","怡利電","0.0000","0.0000","44.0000","有害+非有害","無，0.00002025/千元營業額","","ISO 14001"
"=""2498""","宏達電","9.7720","455.0440","464.8160","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","0.1050","百萬元營業額","ISO 14001"
"=""2501""","國建","0.0000","0.0000","9343.0000","CSR","583.9400","工地數量",""
"=""2504""","國產","0.0000","18446.0000","18446.0000","國產公司所有廠區","無，無統計相關數據","",""
"=""2505""","國揚","無，請參考報告書廢棄物處理一節P.44","無，請參考報告書廢棄物處理一節P.44","無，請參考報告書廢棄物處理一節P.44","","無，請參考報告書廢棄物處理一節P.44","",""
"=""2506""","太設","0.0000","0.0000","3659.0000","僅執行中工地","無，無統計相關數據","",""
"=""2509""","全坤建","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2511""","太子","無，太子廢棄物來源主要來自工地並分為營建廢棄物與一般廢棄物，111年無新增施工工地，無工地廢棄物。","無，太子廢棄物來源主要來自工地並分為營建廢棄物與一般廢棄物，111年無新增施工工地，無工地廢棄物。","無，太子廢棄物來源主要來自工地並分為營建廢棄物與一般廢棄物，111年無新增施工工地，無工地廢棄物。","","無，無統計相關數據","",""
"=""2514""","龍邦","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2516""","新建","0.0000","14668.5200","14668.5200","工地","2.1400","百萬元營業額",""
"=""2520""","冠德","0.0000","0.0000","54.7200","公司的生活垃圾","0.0025","百萬元營業額",""
"=""2524""","京城","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2527""","宏璟","0.0000","273269.3300","273269.3300","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""2528""","皇普","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2530""","華建","0.0000","0.0000","4050.0000","合併財務報表之母子公司","0.0900","樓地板面積(平方公尺)",""
"=""2534""","宏盛","0.0000","2754.0000","2754.0000","在建工程（北投石牌、汐止智興、新店心中央）","無，無統計相關數據","",""
"=""2535""","達欣工","0.0000","0.0000","13.4100","母公司營運總部","0.0010","百萬元營業額","ISO 9001"
"=""2536""","宏普","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2537""","聯上發","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2538""","基泰","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2539""","櫻花建","0.0000","1668.3000","1668.3000","母公司","無，無統計相關數據","",""
"=""2540""","愛山林","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2542""","興富發","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2543""","皇昌","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2545""","皇翔","無，尚未啟動","無，尚未啟動","無，尚未啟動","","無，尚未啟動","",""
"=""2546""","根基","0.0000","16108.0000","16108.0000","總公司及工程專案","1.1340","百萬元營業額",""
"=""2548""","華固","0.0000","0.0000","1.9200","僅母公司辦公室","0.0001","百萬元營業額",""
"=""2597""","潤弘","0.0000","168.6540","168.6540","宜蘭冬山廠","無，無統計相關數據","",""
"=""2601""","益航","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","600.0100","海運廢棄物總量",""
"=""2603""","長榮","0.0000","0.0000","313.5000","海上船舶及陸上營運據點","無，N/A","",""
"=""2605""","新興","0.0000","0.0000","1.3890","統計船隊產出之廢棄物，包含塑膠類(一般廢棄物)、食物廢棄物(廚房廢油)及有害廢棄物(汙油水/Sludge)","無，無統計相關數據","",""
"=""2606""","裕民","0.0000","0.0000","0.3800","船上食物廢棄物、紙、玻璃、金屬、塑膠及食用油","0.0000","千元營業額","DNV VeriSustain 中度保證等級"
"=""2607""","榮運","無，詳年報說明","無，詳年報說明","無，詳年報說明","","無，無","",""
"=""2608""","嘉里大榮","0.0000","0.0000","1576.5720","嘉里大榮物流組織全部(僅母公司)","0.1600","百萬元營業額",""
"=""2609""","陽明","0.0000","0.0000","306.9400","辦公室、基隆(陽明)貨櫃場及營運船舶","0.0000","仟元個體營業收入","ISO 14001"
"=""2610""","華航","0.0000","0.0000","2346.0000","以母公司為主體（但包含企業總部、修護廠區、台灣地區作業區域與分公司，母數範圍較同業廣）","0.0156","百萬元營業額","ISO 14001"
"=""2611""","志信","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2612""","中航","0.0000","0.0000","124.0000","合併財務報表之母子公司之一般廢棄物","0.0281","百萬元營業額",""
"=""2613""","中櫃","0.0000","0.0000","779.8800","本公司內部統計資料","無，無統計相關數據","","ISO 14001"
"=""2614""","東森","0.0000","0.0000","4490.5500","僅母公司","3.0362","百萬元營業額",""
"=""2615""","萬海","0.0000","0.0000","1868.2200","台中、高雄碼頭和台灣辦公室","0.0070","百萬元營業額","GHG Protocol and ISO 14064-1:2018"
"=""2616""","山隆","無，無統計相關數據","無，無統計相關數據","無，無統計相關數據","","無，無統計相關數據","",""
"=""2617""","台航","0.0000","0.0000","6.2400","含母子公司","無，無統計相關數據","",""
"=""2618""","長榮航","0.0000","0.0000","182.0300","僅母公司","0.0006","每人每日廢棄物產出量(以24小時計算)","ISO 14001"
"=""2630""","亞航","0.0000","0.0000","118.4100","本公司廠區(松山、台中、台南 (含歸仁)、屏東)所產生之廢棄物量。","0.0291","百萬營業額",""
