報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
無，無統計相關數據,,,,,,
3.8100,,,服務,,,
0.3200,,,營業額,,,
2.1320,,,焚化量,,,
4.5790,,,百萬營業額,,,
無，無統計相關數據,,,,,,
7.5100,,,產品,,,
無，無統計相關數據,,,,,,
0.0524,,,公噸廢棄物處理量,,,
無，無統計相關數據,,,,,,
無，資料盤點中，已規劃推動ISO14067。,,,,,,
無，無統計相關數據,,,,,,
無，不適用,,,,,,
3.6000,,,排放強度之計算以當年度總溫室氣體排放量(公噸CO2e)/當年度年底總部總雇用人數,,,
6.6830,,,百萬營業額,,,
0.8920,,,熟料產量,,,
無，待2021年ESG資料盤整完畢,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
0.0000,,,每單位蒸汽排放二氧化碳當量：340.4公斤/公噸蒸汽；每單位電力排放二氧化碳當量：988.6公斤/度電力,,,
無，無統計相關數據,,,,,,
3.2600,,,百萬營業額,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，針對本公司主要生產營運基地(中國大陸、越南、印尼)的製鞋工廠，每雙鞋溫室氣體排放密集度介於0.00091～0.00298噸。,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
0.1500,,,產品,,,
0.0297,,,營業額每10萬元,,,
0.1140,,,每仟元美金產值,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
0.0455,,,營業額單位為佰萬元,,,
1.1143,,,計算標準:排放量/每百萬元營收,,,
197.4900,,,營業額,,,
3120.3400,,,產量(噸),,,
0.0333,,,單台,,,
4.2320,,,百萬營業額,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
0.5794,,,產品,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
0.0484,,,高爐石粉,,,
無，無統計相關數據,,,,,,
416.0971,,,百萬工時,,,
無，無統計相關數據,,,,,,
0.0002,,,營業額,,,
0.0051,,,每公秉油品銷售之單位排放量,,,
1.4010,,,產品,,,
11.5640,,,營業額,,,
1.2500,,,員工人數,,,
0.1093,,,營業額(百萬元),,,
無，無統計相關數據,,,,,,
8.8092,,,t-CO2e(14816.22)/其他-營收百萬元(1681.905),,,
1.9784,,,產品,,,
0.8920,,,熟料產能,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
無，無統計相關數據,,,,,,
資料範圍-資料範圍,,,,取得驗證-取得驗證,,
台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠、子公司和平電力),,,,ISO 9001,,
亞泥個體公司,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 14001,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
台北總公司、中壢廠與斗六廠,,,,ISO 9001,,
,,,,,,
母公司,,,,,,
,,,,,,
母公司,,,,,,
"母公司，已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，至119年，預計設置總容量約51,625KW，預估占台電契約容量29.4%(高於政府用電大戶條款規定的10%)，其中，新港配電盤廠廠房屋頂1,500KW太陽能發電設備建置投資案，於110年完成發包，進入施工階段。",,,,ISO 14001,,
,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
僅母公司,,,,ISO 9001,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
"與台電合作躉售太陽能光電 每年產生綠電約達30000度電以上 但未使用綠電於企業自用.",,,,,,
,,,,,,
,,,,,,
110年台化及台醋公司之台灣廠區資料,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"生物質 能源(壓榨稻殼) 生物質 能源(壓榨稻殼)",,,,ISO 14001,,
,,,,,,
統計範疇共21個生產據點,,,,ISO 9001,,
,,,,,,
,,,,,,
僅母公司,,,,,,
本公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
母公司各廠區,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
母公司,,,,,,
2021年母公司。,,,,,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
未使用,,,,,,
僅母公司,,,,,,
,,,,,,
母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
合併財務報表之母子公司之桃園廠區,,,,,,
,,,,,,
,,,,,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
,,,,,,
包含合併財務報表之母子公司,,,,ISO 9001,,
台北總公司,,,,ISO 14001,,
,,,,,,
台灣所有廠區,,,,,,
,,,,,,
,,,,,,
母公司110年度,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
勤美金屬成型事業處,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
合併財務報表之母子公司,,,,ISO 9001,,
,,,,ISO 9001,,
僅母公司,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
包含三個生產工廠，已涵蓋集團90%以上的排放量,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
葡萄王生技、葡眾企業,,,,ISO 9001,,
,,,,,,
,,,,,,
"1.2022年 H2已規劃建置太陽能光電系統（約87KW)。 2.2025年底前購買10%再生能源電力及憑證，以符合法令要求。",,,,ISO 9001,,
,,,,ISO 14001,,
母公司王田廠區(王田廠、王田二廠、生物工廠),,,,,,
屏南分公司,,,,,,
,,,,,,
包含合併財務報表之母子公司,,,,ISO 9001,,
,,,,ISO 9001,,
生達一廠+生達二廠,,,,,,
,,,,ISO 14001,,
僅計算母公司台中廠、苗栗廠電力使用再生發電比例,,,,ISO 9001,,
,,,,ISO 9001,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"屋頂型太陽能2021年發電212,861度",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"僅母公司(於2021年外購電力32,253,016度，太陽能發電172,218度)",,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
母公司,,,,ISO 9001,,
華紙合併財報之台灣、大陸生產據點,,,,ISO 9001,,
,,,,,,
"永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。 可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、木片等",,,,ISO 9001,,
僅母公司,,,,ISO 9001,,
母公司,,,,ISO 9001,,
母公司,,,,ISO 9001,,
,,,,ISO 9001,,
110年屏南廠區,,,,,,
無使用再生能源,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2021全年度,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 14001,,
,,,,,,
太陽能/電力+天然氣+蒸氣+汽柴油(熱值),,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
四廠總用電量合計為 13698 kw，目前斗一廠和斗二廠安裝太陽能發電，發電量為 5500Kw，共佔四廠總用電量的 40%。,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
合併財務報表之生產營運母子公司,,,,ISO 14001,,
"林園先進廠2021年透過回收製程尾氣轉化成蒸汽進行發電，發電量53,496,000度，佔總用電量78%。",,,,ISO 14001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
裕隆汽車製造(股)公司三義廠區,,,,,,
占營運範圍比率100%,,,,ISO 9001,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
為升電裝工業股份有限公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
"包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED",,,,ISO 9001,,
母子公司,,,,,,
僅母公司(含新加坡分公司),,,,ISO 14001,,
,,,,,,
母公司及關係企業之全球據點,,,,ISO 9001,,
母公司,,,,,,
,,,,,,
母公司,,,,,,
,,,,ISO 9001,,
依2021年永續報告書邊界,,,,ISO 9001,,
,,,,,,
,,,,,,
母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置及Compalead Eletr&#244;nica do Brasil Ind&#250;stria e Com&#233;rcio,,,,ISO 9001,,
母公司,,,,,,
,,,,,,
,,,,,,
台灣廠區及子公司,,,,ISO 9001,,
"精英電腦股份有限公司企業總部智慧大樓太陽能車棚；2021年因太陽能板故障待料, 僅發電3度. 於2022/2/23 修復逆變器開始發電.",,,,ISO 14001,,
,,,,ISO 14001,,
僅母公司,,,,,,
僅母公司,,,,,,
,,,,,,
僅母公司,,,,,,
母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,,,
母公司,,,,ISO 9001,,
佳世達台灣廠區,,,,ISO 9001,,
含合併財務報表之母子公司,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
"英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)",,,,ISO 9001,,
華碩全台辦公室(皇家除外),,,,ISO 9001,,
,,,,,,
致茂A7廠營運總部,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
母公司,,,,ISO 9001,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅包含瑞昱新竹營運總部,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
群光電子(含海外各廠區，不含子公司),,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
台灣,,,,,,
研華台灣林口廠太陽能面板發電佔總用總電量4.5%,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,ISO 9001,,
全球營運據點,,,,ISO 9001,,
資料涵蓋中華電信總公司、各地營運處、及分公司等組織邊界範圍,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
無,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
母公司與部分合併財務報表之子公司,,,,ISO 14001,,
,,,,,,
超豐電子股份有限公司營運範圍,,,,,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,ISO 14001,,
僅母公司,,,,,,
,,,,,,
僅母公司,,,,ISO 9001,,
,,,,,,
合併財務報表之母子公司,,,,,,
義隆電子、義隆香港、義晶、義碩、義傳,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司台南廠區,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
岡山廠,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"1.分母範疇:母公司(含總公司/越南廠)及子公司(蘇州樂軒科技有限公司)能源耗用量共128,030GJ 2.分子範疇:蘇州樂軒科技有限公司太陽能發電度數2,362,941度，轉換熱值相當於8,503GJ 3.能源熱值轉換係參考能源局「 2018 年能源統計手冊 能源產品單位熱值表」公告之數值計算。",,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
無,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 14001,,
,,,,,,
,,,,,,
"母公司(含辦公大樓及營運船舶)用電量合計：20,594.6832MWH；其中船舶於奧克蘭使用100%太陽能加上風力發電使用量為2,529.2133MWH，佔總用電量比例為12.2809%。",,,,,,
太陽能/總用電量,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
台中高雄專用碼頭與北中高辦公室,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,ISO 9001,,
"本公司台南廠區7-1棚屋頂設置太陽能板自用，年發電量15,000度，年用電量11,847,450度。",,,,,,
軌道、基地、車站及總公司,,,,,,
僅母公司,,,,ISO 9001,,
,,,,,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
總行及國內125家分行,,,,ISO 9001,,
母公司總行大樓,,,,ISO 9001,,
,,,,ISO 9001,,
母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
富邦金控、富邦人壽、台北富邦銀行、富邦產物及富邦證券。,,,,ISO 9001,,
包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募)之國內據點，以及部份海外分支機構數據,,,,ISO 9001,,
包含合併報表之母子公司，員工涵蓋率99.27%,,,,ISO 9001,,
100%持有合併財務報表之母子公司,,,,ISO 14001,,
110年度再生能源採購量52.67萬度,,,,ISO 9001,,
包含合併財務報表母子公司之國內所有據點,,,,ISO 14001,,
據點涵蓋台新金控、台新銀行、台新證券、台新投信、台新創投、AMC及台新投顧，台新人壽於2021年7月加入台新金控，因相關盤查數據未滿一年故本次不納入人壽數字,,,,ISO 9001,,
100%包含合併財務報表之母子公司,,,,ISO 9001,,
,,,,ISO 9001,,
僅母公司,,,,ISO 14001,,
中國信託金融園區及臺中金融大樓,,,,ISO 9001,,
"總能源資料範圍為本公司暨合併財報除「第一金證券亞洲」外之所有子公司。 110年購買及使用再生能源合計度數1,254,678度。 110年外購電力38,188,076度。1,254,678/(1,254,678+38,188,076)= 3.1810%",,,,ISO 9001,,
母公司全台營運據點,,,,ISO 9001,,
,,,,,,
僅母公司,,,,ISO 9001,,
,,,,,,
母公司(建北大樓),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,ISO 14001,,
,,,,,,
,,,,,,
"母公司及子公司(全順、國軒、詠佳、富鈞、華恆),並未直接使用而是將能源提供於台電,但依發電量與消耗量計算,再生能源達100%。",,,,,,
,,,,,,
包含合併財務報表之母子公司,,,,,,
母公司,,,,,,
母公司與部分子公司,,,,,,
,,,,,,
深圳奇宏電子,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
集團100%持股之11個據點。能源使用包含電力(再生能源、非再生能源)、汽油、柴油、液化石油氣、天然氣)，經換算熱值(GJ)之佔比(1657.01/105997.29=1.5%),,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
包含合併財務報表母子公司之台灣各營運據點,,,,,,
目前尚未使用再生能源。,,,,ISO 9001,,
,,,,,,
,,,,,,
僅母公司,,,,,,
2021年再生能源使用率,,,,,,
,,,,,,
健鼎-無錫廠區,,,,ISO 9001,,
2021,,,,ISO 9001,,
僅申報公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,,,
,,,,ISO 14001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
110/1~110/12,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"再生能源節約量(天然氣) 110年	立方公尺 1月	979 2月	875 3月	1164 4月	1164 5月	1116 6月	1006 7月	915 8月	819 9月	1257 10月	944 11月	1125 12月	859 加總	12223 總天然氣使用量: 86376",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠),,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
110/1/1~110/12/31,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司,,,,,,
,,,,,,
,,,,,,
群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電,,,,ISO 9001,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
,,,,,,
母公司(目前用電主要以台電為主，未使用再生能源),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司及大陸子公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
公司目前尚無使用再生能源，以購入台電電力為主要使用電力,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
統計範圍涵蓋集團 17 個生產據點：昆山貿聯廠、昆山翔光廠、常州廠、深圳通盈廠、翔耀廠、康聯廠、廈門新視廠、百事聯廠、佛山城鉞廠、新加坡加冷廠、馬來西亞柔佛廠、馬來西亞檳城廠、塞爾維亞廠、斯洛伐克廠、加州廠、德州廠、墨西哥廠。,,,,ISO 14001,,
,,,,,,
宸鴻科技（廈門）有限公司、鴻通科技（廈門）有限公司、宸美（廈門）光電有限公司、祥達光學（廈門）有限公司、寶宸（廈門）光學科技有限公司、宸鴻科技（平潭）有限公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司及主要營運子公司,,,,ISO 14001,,
母公司,,,,,,
,,,,,,
"合併財務報表之母子公司, 含台灣營運、研發中心及廠區; 中國主要生產據點: 廣東順達廠區、江蘇昆達廠區; 美國加州組裝廠區: MiTACIS",,,,,,
上緯興業股份有限公司及上偉碳纖複合材料股份有限公司,,,,,,
包含再生能源或憑證,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
Top Sports Textile Limited,,,,ISO 14001,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
合併財務報表之母子公司,,,,,,
母公司,,,,,,
母公司,,,,ISO 9001,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
遠傳電信股份有限公司及兩家子公司(新世紀資通股份有限公司、和宇寬頻網路股份有限公司),,,,ISO 9001,,
,,,,,,
重要子公司聯德精密材料(中國)股份有限公司,,,,,,
致伸科技及子公司東莞東聚、致伸重慶、致伸昆山、惠州迪芬尼、東莞迪芬尼及東城迪芬尼,,,,ISO 9001,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
和碩聯合科技(股)公司、名碩電腦(蘇州)、凱碩電腦(蘇州)、昌碩科技(上海)、世碩電子(昆山)、旭碩科技(重慶)、Pegatron MEXICO S.A.DEC.V.、PEGATRON Czech s.r.o.、PT. PEGATRON TECHNOLOGY INDONESIA、Pegatron Japan Inc.、PEGATRON SERVICE SINGAPORE PTE. LTD.、PEGATRON SERVICE KOREA LLC.、PEGATRON TECHNOLOGY SERVICE INC.、PEGATRON SERVICE AUSTRALIA PTY. LTD.,,,,ISO 9001,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
大陸園區自建太陽能發電量,,,,ISO 9001,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"範圍: 110/1/1~12/31, 祥碩總公司辦公室",,,,,,
,,,,,,
泰國經寶精密工業股份有限公司,,,,ISO 14001,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
本公司於申報年度未使用再生能源，故不適用,,,,,,
,,,,,,
,,,,ISO 9001,,
僅母公司,,,,ISO 9001,,
合庫金控及各子公司，合計333處據點。,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
台灣與中國大陸製造廠區,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司-南科廠區,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
僅母公司,,,,ISO 9001,,
台灣全部公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"1. 2022年H2已規劃建置太陽能光電系統。 2. 2025年底前購買10%再生能源電力及憑證。",,,,ISO 9001,,
,,,,,,
矽格-北興 中興 湖口廠區,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
2021年康舒科技股份有限公司永續報告書,,,,ISO 9001,,
,,,,,,
WNC全據點,,,,ISO 9001,,
,,,,,,
,,,,,,
"1.旭隼科技主要業務為不斷電系統、太陽能產品、儲能系統、變頻器、電動車充電樁等產品 2.旭隼科技產品壽命結束後，再使用或者再生利用率均超過80%，可回收利用率均超過70%，符合歐盟WEEE指令的最新要求。 3.請參閱本公司ESG報告及TCFD報告",,,,ISO 14001,,
使用太陽能發電與購買綠電憑證,,,,ISO 9001,,
,,,,,,
母公司包含杭州子公司(重要子公司),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
廠區用電來源為台電，廠區太陽能光電售於台電無列入,,,,,,
僅台灣製造廠區,,,,,,
,,,,,,
2021.1~2021.12訊芯電子科技(中山)有限公司及訊芸電子科技(中山)有限公司之廣東省中山市廠區,,,,ISO 9001,,
所有廠區及子公司，不包含於2021年初期營運之業泓台灣公司,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司。,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0%,,,,,,
,,,,,,
合併報表之子公司之一-川源(中國)平湖廠區,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,,,
,,,,ISO 9001,,
桃園廠,,,,,,
,,,,,,
,,,,,,
,,,,ISO 14001,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司,,,,ISO 9001,,
僅申報公司,,,,,,
,,,,,,
采鈺新竹廠及中壢廠,,,,ISO 9001,,
,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
僅母公司,,,,,,
,,,,,,
,,,,,,
母公司,,,,,,
母公司,,,,,,
包含合併財務報表之母子公司,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
母公司-錸寶,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ISO 9001,,
,,,,ISO 9001,,
台灣廠區+中國廠區,,,,,,
母公司,,,,,,
,,,,,,
,,,,,,
桃園廠區、雲林廠區及大陸廠區,,,,ISO 9001,,
,,,,,,
,,,,,,
,,,,,,
