"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""5291""","邑昇","9","3","100.00%","127.78%","2","22.22%"
"=""5299""","杰力","9","4","100.00%","100.00%","1","11.11%"
"=""5301""","寶得利","7","3","74.60%","100.00%","1","14.29%"
"=""5302""","太欣","7","3","95.24%","100.00%","2","28.57%"
"=""5309""","系統電","7","3","96.43%","100.00%","0","0.00%"
"=""5310""","天剛","9","3","81.00%","100.00%","0","0.00%"
"=""5312""","寶島科","11","4","96.10%","100.00%","4","36.36%"
"=""5314""","世紀","7","3","100.00%","100.00%","2","28.57%"
"=""5315""","光聯","9","3","93.25%","100.00%","2","22.22%"
"=""5321""","美而快","7","3","98.41%","85.71%","2","28.57%"
"=""5324""","士開","8","3","78.12%","56.25%","1","12.50%"
"=""5328""","華容","8","3","100.00%","100.00%","1","10.00%"
"=""5340""","建榮","7","3","100.00%","57.14%","1","14.29%"
"=""5344""","立衛","4","3","100.00%","100.00%","0","0.00%"
"=""5345""","天揚","9","3","100.00%","33.33%","2","22.22%"
"=""5347""","世界","8","4","98.00%","100.00%","0","0.00%"
"=""5348""","正能量智能","7","3","91.43%","71.43%","0","0.00%"
"=""5351""","鈺創","9","4","100.00%","100.00%","3","33.33%"
"=""5353""","台林","9","4","91.67%","100.00%","0","0.00%"
"=""5355""","佳總","7","4","94.29%","100.00%","0","0.00%"
"=""5356""","協益","7","3","100.00%","100.00%","2","28.57%"
"=""5364""","力麗店","9","3","86.11%","100.00%","1","11.11%"
"=""5371""","中光電","7","3","94.00%","100.00%","1","14.00%"
"=""5381""","合正","7","3","100.00%","14.29%","3","42.86%"
"=""5386""","青雲","9","3","94.44%","100.00%","0","0.00%"
"=""5392""","能率","9","3","94.44%","100.00%","0","0.00%"
"=""5398""","慕康生醫","7","3","95.24%","57.14%","1","14.29%"
"=""5403""","中菲","7","3","100.00%","100.00%","2","28.57%"
"=""5410""","國眾","7","4","100.00%","100.00%","1","14.00%"
"=""5425""","台半","3","4","100.00%","100.00%","0","0.00%"
"=""5426""","振發","6","4","80.55%","83.33%","1","16.67%"
"=""5432""","新門","7","4","100.00%","100.00%","0","0.00%"
"=""5438""","東友","11","4","93.94%","100.00%","1","9.09%"
"=""5439""","高技","11","3","95.45%","9.09%","0","0.00%"
"=""5443""","均豪","7","4","100.00%","100.00%","1","14.29%"
"=""5450""","南良","9","3","91.67%","100.00%","3","33.33%"
"=""5452""","佶優","7","3","88.57%","42.86%","1","14.29%"
"=""5455""","昇益","6","4","97.62%","100.00%","2","33.33%"
"=""5457""","宣德","9","4","100.00%","100.00%","1","11.00%"
"=""5460""","同協","11","3","100.00%","18.18%","4","36.36%"
"=""5464""","霖宏","7","4","100.00%","100.00%","2","28.57%"
"=""5465""","富驊","8","3","95.00%","100.00%","0","0.00%"
"=""5468""","凱鈺","7","3","97.00%","100.00%","2","29.00%"
"=""5474""","聰泰","9","3","100.00%","0.00%","1","0.11%"
"=""5475""","德宏","32","31","96.88%","100.00%","1","12.50%"
"=""5478""","智冠","10","4","95.83%","100.00%","2","20.00%"
"=""5481""","新華","5","3","97.00%","100.00%","1","20.00%"
"=""5483""","中美晶","11","4","95.69%","100.00%","1","9.09%"
"=""5487""","通泰","7","3","100.00%","57.00%","0","0.00%"
"=""5488""","松普","9","3","97.78%","100.00%","1","11.11%"
"=""5489""","彩富","8","3","96.87%","0.00%","0","0.00%"
"=""5490""","同亨","7","3","92.86%","28.57%","0","0.00%"
"=""5493""","三聯","7","3","100.00%","100.00%","3","42.86%"
"=""5498""","凱崴","8","3","90.48%","100.00%","1","12.50%"
"=""5508""","永信建","6","4","86.67%","50.00%","0","0.00%"
"=""5511""","德昌","10","3","94.00%","100.00%","0","0.00%"
"=""5512""","力麒","9","3","77.78%","100.00%","2","22.22%"
"=""5514""","三豐","9","3","96.00%","66.67%","0","0.00%"
"=""5516""","雙喜","5","3","92.00%","90.00%","0","0.00%"
"=""5520""","力泰","7","4","90.48%","14.29%","1","14.29%"
"=""5523""","豐謙","5","3","88.00%","20.00%","0","0.00%"
"=""5529""","鉅陞","8","4","75.47%","75.00%","1","12.50%"
"=""5530""","龍巖","7","3","98.41%","100.00%","2","28.57%"
"=""5536""","聖暉*","7","4","100.00%","100.00%","2","28.57%"
"=""5543""","桓鼎-KY","7","3","100.00%","100.00%","0","0.00%"
"=""5548""","安倉","7","3","96.43%","100.00%","1","14.29%"
"=""5601""","台聯櫃","33","7","69.69%","21.21%","4","12.12%"
"=""5603""","陸海","10","4","93.75%","100.00%","0","0.00%"
"=""5604""","中連","7","3","80.00%","57.14%","1","14.29%"
"=""5609""","中菲行","7","3","100.00%","100.00%","1","14.29%"
"=""5701""","劍湖山","11","3","92.00%","9.10%","0","0.00%"
"=""5703""","亞都麗緻","6","3","94.44%","100.00%","3","50.00%"
"=""5704""","老爺知","13","3","90.77%","23.08%","3","23.08%"
"=""5864""","致和證","13","3","94.87%","100.00%","4","46.15%"
"=""5878""","台名","6","3","93.00%","100.00%","2","33.00%"
"=""5902""","德記","7","3","100.00%","100.00%","1","14.00%"
"=""5903""","全家","13","3","94.87%","100.00%","0","0.00%"
"=""5904""","寶雅","8","4","96.97%","100.00%","1","12.50%"
"=""5905""","南仁湖","7","3","91.84%","100.00%","2","28.57%"
"=""6015""","宏遠證","7","4","100.00%","100.00%","1","14.29%"
"=""6016""","康和證","10","2","93.24%","100.00%","3","30.00%"
"=""6020""","大展證","7","3","97.62%","100.00%","1","14.29%"
"=""6021""","美好證","11","3","94.40%","100.00%","2","18.00%"
"=""6023""","元大期貨","9","3","100.00%","100.00%","3","33.33%"
"=""6026""","福邦證","9","3","97.77%","100.00%","2","22.00%"
"=""6101""","寬魚國際","7","4","78.75%","42.86%","1","14.29%"
"=""6103""","合邦","7","3","100.00%","0.00%","0","14.29%"
"=""6104""","創惟","9","4","97.78%","100.00%","3","33.33%"
"=""6109""","亞元","8","3","97.06%","100.00%","1","12.50%"
"=""6111""","大宇資","7","3","100.00%","57.14%","3","42.86%"
"=""6113""","亞矽","6","3","100.00%","100.00%","2","33.33%"
"=""6114""","久威","7","3","80.00%","92.86%","1","14.29%"
"=""6118""","建達","7","3","71.43%","100.00%","1","14.29%"
"=""6121""","新普","7","4","92.86%","100.00%","0","0.00%"
"=""6122""","擎邦","9","3","100.00%","100.00%","0","0.00%"
"=""6123""","上奇","9","3","100.00%","100.00%","1","11.00%"
"=""6124""","業強","8","3","72.00%","0.00%","2","25.00%"
"=""6125""","廣運","7","3","88.57%","100.00%","2","28.57%"
"=""6126""","信音","7","3","100.00%","100.00%","0","0.00%"
"=""6127""","九豪","9","4","94.00%","100.00%","2","22.22%"
"=""6129""","普誠","8","4","100.00%","100.00%","3","37.50%"
"=""6130""","上亞科技","7","3","88.57%","100.00%","1","14.29%"
"=""6134""","萬旭","9","4","91.10%","11.11%","0","0.00%"
"=""6138""","茂達","11","4","98.18%","36.36%","1","9.09%"
"=""6140""","訊達電腦","9","3","100.00%","77.00%","2","22.00%"
"=""6143""","振曜","10","4","87.93%","100.00%","1","10.00%"
"=""6144""","得利影","7","3","81.25%","71.43%","1","14.29%"
"=""6146""","耕興","9","4","94.37%","44.44%","2","22.22%"
"=""6147""","頎邦","8","4","100.00%","100.00%","1","12.50%"
"=""6148""","驊宏資","9","4","97.78%","33.33%","3","33.33%"
"=""6150""","撼訊","7","3","92.86%","100.00%","1","14.29%"
"=""6151""","晉倫","11","3","96.53%","100.00%","2","18.18%"
"=""6154""","順發","7","4","95.92%","100.00%","0","0.00%"
"=""6156""","松上","7","3","91.43%","100.00%","0","0.00%"
"=""6158""","禾昌","7","3","95.24%","100.00%","2","28.57%"
"=""6160""","欣技","9","4","94.44%","83.33%","1","11.11%"
"=""6161""","捷波","7","3","97.78%","100.00%","2","28.57%"
"=""6163""","華電網","9","4","91.43%","100.00%","2","22.33%"
"=""6167""","久正","5","4","100.00%","55.56%","2","22.22%"
"=""6169""","昱泉","5","3","97.96%","100.00%","0","0.00%"
"=""6170""","統振","7","3","98.21%","100.00%","1","14.29%"
"=""6171""","大城地產","9","4","97.83%","100.00%","4","44.44%"
"=""6173""","信昌電","7","3","97.96%","100.00%","1","14.29%"
"=""6174""","安碁","7","3","94.29%","100.00%","1","14.29%"
"=""6175""","立敦","7","3","100.00%","100.00%","1","14.29%"
"=""6179""","亞通","7","3","91.21%","100.00%","1","14.29%"
"=""6180""","橘子","7","4","78.29%","100.00%","1","14.29%"
"=""6182""","合晶","9","3","95.56%","100.00%","1","11.11%"
"=""6185""","幃翔","7","3","97.96%","100.00%","1","14.29%"
"=""6186""","新潤","8","4","89.29%","25.00%","1","12.50%"
"=""6187""","萬潤","9","3","92.59%","100.00%","1","11.11%"
"=""6188""","廣明","7","3","98.21%","100.00%","0","0.00%"
"=""6190""","萬泰科","8","4","96.00%","62.50%","1","12.50%"
"=""6194""","育富","9","3","86.11%","100.00%","1","11.11%"
"=""6195""","詩肯","8","3","100.00%","100.00%","2","24.00%"
"=""6198""","瑞築","7","3","100.00%","100.00%","1","14.00%"
"=""6199""","天品","6","2","75.47%","16.67%","2","33.33%"
"=""6203""","海韻電","7","3","92.86%","100.00%","2","28.57%"
"=""6204""","艾華","7","3","88.57%","100.00%","0","0.00%"
"=""6207""","雷科","7","3","100.00%","85.71%","1","14.29%"
"=""6208""","日揚","11","3","98.48%","100.00%","1","9.09%"
"=""6210""","慶生","7","3","95.92%","100.00%","1","14.29%"
"=""6212""","理銘","6","4","100.00%","100.00%","2","33.33%"
"=""6217""","中探針","9","4","100.00%","100.00%","0","0.00%"
"=""6218""","豪勉","7","3","92.86%","71.43%","1","14.29%"
"=""6219""","富旺","9","4","78.95%","100.00%","1","11.11%"
"=""6220""","岳豐","9","3","98.15%","100.00%","1","11.11%"
"=""6221""","晉泰","9","3","94.81%","100.00%","1","11.11%"
"=""6222""","上揚","6","3","100.00%","0.00%","0","0.00%"
"=""6223""","旺矽","9","3","97.22%","100.00%","1","11.11%"
"=""6227""","茂綸","7","4","100.00%","100.00%","2","29.00%"
"=""6228""","全譜","7","3","92.86%","100.00%","1","14.29%"
"=""6229""","研通","5","3","75.00%","20.00%","0","0.00%"
"=""6231""","系微","11","4","100.00%","100.00%","2","18.18%"
"=""6233""","旺玖","8","4","98.33%","100.00%","0","0.00%"
"=""6234""","高僑","7","3","95.88%","100.00%","2","28.57%"
"=""6236""","中湛","9","3","88.89%","100.00%","1","11.11%"
"=""6237""","驊訊","8","4","97.78%","37.50%","0","0.00%"
"=""6240""","松崗","7","3","98.21%","0.00%","2","28.57%"
"=""6241""","易通展","7","3","93.65%","100.00%","3","42.86%"
"=""6242""","立康","8","4","100.00%","100.00%","3","37.50%"
"=""6244""","茂迪","7","3","100.00%","43.00%","0","0.00%"
"=""6245""","立端","7","3","92.86%","100.00%","1","14.29%"
"=""6246""","臺龍","9","3","91.67%","22.22%","2","22.22%"
"=""6248""","沛波","9","3","93.83%","100.00%","4","44.44%"
"=""6259""","百徽","9","3","84.75%","22.22%","1","11.11%"
"=""6261""","久元","4","3","99.00%","100.00%","2","29.00%"
"=""6263""","普萊德","7","4","100.00%","100.00%","3","42.86%"
"=""6264""","富裔","8","4","91.07%","100.00%","2","25.00%"
"=""6265""","方土昶","7","3","95.83%","14.29%","1","14.29%"
"=""6266""","泰詠","11","4","98.65%","100.00%","1","9.09%"
"=""6270""","倍微","9","4","100.00%","100.00%","0","0.00%"
"=""6274""","台燿","7","4","94.29%","100.00%","1","14.29%"
"=""6275""","元山","7","3","98.00%","100.00%","0","0.00%"
"=""6276""","安鈦克","7","3","92.00%","42.80%","0","0.00%"
"=""6279""","胡連","9","3","100.00%","100.00%","2","22.22%"
"=""6284""","佳邦","7","3","89.00%","100.00%","1","14.29%"
"=""6287""","元隆","8","4","59.02%","100.00%","0","0.00%"
"=""6290""","良維","9","4","89.00%","100.00%","1","11.11%"
"=""6291""","沛亨","6","3","98.92%","100.00%","0","0.00%"
"=""6292""","迅德","9","3","98.11%","100.00%","2","22.22%"
"=""6294""","智基","7","3","88.57%","28.57%","2","28.57%"
"=""6411""","晶焱","11","3","100.00%","100.00%","2","18.18%"
"=""6417""","韋僑","9","3","98.00%","100.00%","3","33.00%"
"=""6418""","詠昇","7","3","98.21%","100.00%","1","14.29%"
"=""6419""","京晨科","5","3","100.00%","0.00%","0","0.00%"
"=""6425""","易發","4","3","79.17%","100.00%","1","14.28%"
"=""6432""","今展科","7","3","100.00%","100.00%","1","14.29%"
"=""6435""","大中","7","4","100.00%","57.14%","2","28.57%"
"=""6441""","廣錠","7","3","97.62%","100.00%","0","0.00%"
"=""6457""","紘康","9","3","0.98%","100.00%","2","22.22%"
"=""6461""","益得","9","3","93.75%","100.00%","4","44.44%"
"=""6462""","神盾","9","4","92.68%","100.00%","0","0.00%"
"=""6465""","威潤","7","3","97.14%","100.00%","1","14.29%"
"=""6469""","大樹","9","4","96.97%","100.00%","1","11.11%"
"=""6470""","宇智","7","4","100.00%","100.00%","0","0.00%"
"=""6482""","弘煜科","8","4","96.00%","100.00%","3","38.00%"
"=""6485""","點序","8","3","95.65%","100.00%","2","25.00%"
"=""6486""","互動","7","3","100.00%","100.00%","3","42.86%"
"=""6488""","環球晶","8","4","100.00%","100.00%","1","12.50%"
"=""6492""","生華科","7","3","96.97%","100.00%","2","28.57%"
"=""6494""","九齊","6","3","97.00%","100.00%","1","16.67%"
"=""6496""","科懋","11","3","94.55%","100.00%","4","36.36%"
"=""6499""","益安","9","4","93.00%","100.00%","0","0.00%"
"=""6506""","雙邦","9","3","94.00%","100.00%","0","0.00%"
"=""6508""","惠光","7","4","95.24%","100.00%","1","14.29%"
"=""6509""","聚和","9","4","93.75%","44.44%","2","22.22%"
"=""6510""","精測","7","3","97.62%","100.00%","1","14.29%"
"=""6512""","啟發電","7","3","100.00%","100.00%","2","28.57%"
"=""6516""","勤崴國際","6","3","93.00%","89.00%","0","0.00%"
"=""6517""","保勝光學","6","3","92.11%","100.00%","2","33.33%"
"=""6523""","達爾膚","7","3","97.14%","85.71%","1","14.29%"
"=""6527""","明達醫","7","3","98.00%","100.00%","1","14.00%"
"=""6530""","創威","9","4","98.00%","100.00%","0","0.00%"
"=""6532""","瑞耘","7","3","80.95%","100.00%","3","42.86%"
"=""6535""","順藥","10","4","89.47%","100.00%","3","30.00%"
"=""6538""","倉和","7","4","100.00%","100.00%","0","0.00%"
"=""6542""","隆中","7","3","93.00%","100.00%","1","14.00%"
"=""6546""","正基","7","3","98.21%","100.00%","1","14.29%"
"=""6547""","高端疫苗","7","3","100.00%","100.00%","0","0.00%"
"=""6548""","長科*","7","3","96.43%","100.00%","1","14.29%"
"=""6556""","勝品","6","2","100.00%","100.00%","2","33.33%"
"=""6560""","欣普羅","7","3","100.00%","100.00%","1","14.29%"
"=""6561""","是方","7","3","89.80%","100.00%","3","42.86%"
"=""6568""","宏觀","3","2","100.00%","66.67%","1","33.33%"
"=""6569""","醫揚","7","3","100.00%","100.00%","1","14.29%"
"=""6570""","維田","9","4","100.00%","100.00%","1","11.11%"
"=""6574""","霈方","7","3","94.29%","100.00%","4","57.14%"
"=""6576""","逸達","9","4","95.65%","100.00%","1","11.11%"
"=""6577""","勁豐","8","4","98.21%","100.00%","3","37.50%"
"=""6578""","達邦蛋白","7","3","96.42%","100.00%","1","14.28%"
"=""6584""","南俊國際","9","4","97.92%","100.00%","4","44.44%"
"=""6588""","東典","7","3","94.29%","100.00%","0","0.00%"
"=""6589""","台康生技","10","4","95.00%","100.00%","3","30.00%"
"=""6590""","普鴻","7","3","91.43%","100.00%","1","14.29%"
"=""6593""","台灣銘板","7","3","92.00%","66.67%","0","0.00%"
"=""6596""","寬宏藝術","7","4","94.29%","71.43%","4","57.14%"
"=""6603""","富強鑫","13","4","96.92%","100.00%","2","15.38%"
"=""6609""","瀧澤科","13","3","95.06%","100.00%","1","7.69%"
"=""6612""","奈米醫材","7","3","95.24%","100.00%","0","0.00%"
"=""6613""","朋億*","7","4","98.21%","100.00%","2","28.57%"
"=""6615""","慧智","7","3","100.00%","100.00%","2","28.57%"
"=""6616""","特昇-KY","7","3","83.00%","100.00%","0","0.00%"
"=""6617""","共信-KY","9","3","84.21%","100.00%","2","22.22%"
"=""6624""","萬年清","7","3","97.62%","100.00%","2","28.57%"
"=""6629""","泰金-KY","7","3","100.00%","100.00%","2","28.57%"
"=""6637""","醫影","8","4","91.67%","100.00%","2","25.00%"
"=""6640""","均華","7","3","100.00%","100.00%","0","0.00%"
"=""6642""","富致","7","3","100.00%","100.00%","1","14.29%"
"=""6643""","M31","7","3","97.96%","100.00%","2","28.57%"
"=""6649""","台生材","8","3","83.93%","100.00%","0","0.00%"
"=""6651""","全宇昕","7","4","100.00%","100.00%","1","14.29%"
"=""6654""","天正國際","7","3","89.52%","100.00%","2","28.57%"
"=""6661""","威健生技","7","3","100.00%","100.00%","5","71.43%"
"=""6662""","樂斯科","7","3","92.86%","100.00%","1","14.28%"
"=""6664""","群翊","9","3","94.44%","100.00%","0","0.00%"
"=""6667""","信紘科","9","4","98.00%","100.00%","1","11.11%"
"=""6679""","鈺太","7","3","93.75%","100.00%","0","0.00%"
"=""6680""","鑫創電子","7","3","97.96%","100.00%","2","28.57%"
"=""6683""","雍智科技","7","3","97.62%","100.00%","0","0.00%"
"=""6684""","安格","9","3","98.25%","100.00%","1","11.11%"
"=""6690""","安碁資訊","7","4","100.00%","100.00%","4","57.14%"
"=""6692""","進能服","7","4","98.41%","100.00%","1","14.29%"
"=""6693""","廣閎科","9","3","100.00%","100.00%","0","0.00%"
"=""6697""","東捷資訊","9","3","98.00%","100.00%","1","11.00%"
"=""6703""","軒郁","7","3","93.88%","100.00%","4","57.14%"
"=""6708""","天擎","7","3","96.00%","100.00%","1","14.00%"
"=""6712""","長聖","8","3","96.43%","25.00%","1","12.50%"
"=""6716""","應廣","7","3","100.00%","100.00%","1","14.29%"
"=""6721""","信實","7","4","92.85%","85.71%","2","28.57%"
"=""6727""","亞泰金屬","7","3","96.15%","100.00%","0","0.00%"
"=""6728""","上洋","7","3","97.62%","100.00%","1","14.29%"
"=""6732""","昇佳電子","7","3","100.00%","100.00%","1","14.29%"
"=""6733""","博晟生醫","9","4","95.67%","100.00%","3","33.33%"
"=""6735""","美達科技","7","3","91.43%","100.00%","0","0.00%"
"=""6741""","91APP*-KY","9","3","88.89%","100.00%","1","11.11%"
"=""6747""","亨泰光","7","3","94.29%","100.00%","2","28.57%"
"=""6751""","智聯服務","7","4","92.86%","100.00%","4","57.14%"
"=""6752""","叡揚","9","3","93.33%","100.00%","1","11.11%"
"=""6761""","穩得","7","3","100.00%","100.00%","2","28.57%"
"=""6762""","達亞","7","4","100.00%","100.00%","4","57.14%"
"=""6763""","綠界科技","7","4","97.14%","100.00%","2","28.57%"
"=""6767""","台微醫","8","3","95.00%","100.00%","0","0.00%"
"=""6785""","昱展新藥","7","3","100.00%","100.00%","2","28.57%"
"=""6788""","華景電","9","4","98.41%","100.00%","1","11.10%"
"=""6791""","虎門科技","7","4","94.64%","100.00%","1","14.29%"
"=""6803""","崑鼎","9","3","97.78%","100.00%","1","11.11%"
"=""6804""","明係","9","4","98.75%","100.00%","1","11.11%"
"=""6811""","宏碁資訊","7","4","100.00%","100.00%","1","14.29%"
"=""6821""","聯寶","7","3","100.00%","100.00%","1","14.29%"
"=""6823""","濾能","7","3","97.96%","100.00%","0","0.00%"
"=""6829""","千附精密","7","3","97.14%","100.00%","3","42.86%"
"=""6840""","東研信超","9","4","99.00%","100.00%","2","22.22%"
"=""6841""","長佳智能","11","3","91.84%","100.00%","2","18.18%"
"=""6843""","進典","8","4","100.00%","100.00%","2","25.00%"
"=""6844""","諾貝兒","9","3","100.00%","100.00%","1","11.11%"
"=""6846""","綠茵","7","3","100.00%","100.00%","1","14.29%"
"=""6855""","數泓科","10","3","88.00%","100.00%","1","10.00%"
"=""6856""","鑫傳","9","3","88.89%","100.00%","3","33.33%"
"=""6859""","伯特光","8","3","88.00%","100.00%","0","0.00%"
"=""6865""","偉康科技","7","3","100.00%","100.00%","2","28.57%"
"=""6870""","騰雲","7","3","99.32%","100.00%","2","28.57%"
"=""6874""","倍力","7","3","100.00%","100.00%","2","28.57%"
"=""6875""","國邑*","9","3","98.61%","100.00%","1","11.11%"
"=""6877""","鏵友益","9","3","98.41%","100.00%","1","11.11%"
"=""6881""","潤德","7","3","92.86%","100.00%","1","14.29%"
"=""6894""","衛司特","7","3","100.00%","100.00%","2","28.57%"
"=""6895""","宏碩系統","8","3","92.86%","100.00%","2","25.00%"
"=""6899""","創為精密","7","3","100.00%","100.00%","2","28.57%"
"=""6903""","巨漢","7","3","100.00%","100.00%","1","14.29%"
"=""6904""","伯鑫","9","4","97.78%","100.00%","2","22.22%"
"=""6922""","宸曜","9","4","98.75%","100.00%","0","0.00%"
"=""6929""","佑全","9","3","92.31%","100.00%","4","44.44%"
"=""6953""","家碩","7","3","96.77%","42.86%","3","42.86%"
"=""7402""","邑錡","6","3","91.43%","100.00%","2","33.33%"
"=""7556""","意德士科技","7","3","100.00%","100.00%","1","14.29%"
"=""8024""","佑華","7","3","100.00%","57.14%","0","0.00%"
"=""8027""","鈦昇","9","3","98.00%","66.67%","0","0.00%"
"=""8032""","光菱","8","3","97.50%","100.00%","1","12.50%"
"=""8034""","榮群","8","4","100.00%","75.00%","2","25.00%"
"=""8038""","長園科","9","4","92.59%","0.00%","1","11.11%"
"=""8040""","九暘","8","4","100.00%","100.00%","1","12.50%"
"=""8042""","金山電","9","4","83.93%","100.00%","0","0.00%"
"=""8043""","蜜望實","6","2","87.23%","100.00%","2","33.33%"
"=""8044""","網家","9","3","96.00%","100.00%","2","22.22%"
"=""8047""","星雲","5","3","93.33%","100.00%","1","20.00%"
"=""8048""","德勝","10","3","100.00%","100.00%","1","10.00%"
"=""8049""","晶采","7","3","98.21%","100.00%","0","0.00%"
"=""8050""","廣積","9","4","98.33%","100.00%","1","11.11%"
"=""8054""","安國","9","3","98.41%","100.00%","1","11.11%"
"=""8059""","凱碩","10","4","97.37%","80.00%","1","10.00%"
"=""8064""","東捷","11","3","100.00%","100.00%","2","18.18%"
"=""8066""","來思達","8","3","89.58%","0.00%","3","37.50%"
"=""8067""","志旭","7","3","100.00%","28.57%","1","14.28%"
"=""8068""","全達","7","3","98.00%","100.00%","1","14.00%"
"=""8069""","元太","7","3","100.00%","100.00%","2","28.57%"
"=""8071""","能率網通","9","3","95.56%","66.67%","0","0.00%"
"=""8074""","鉅橡","8","4","91.94%","25.00%","1","12.50%"
"=""8076""","伍豐","6","2","72.17%","66.67%","1","16.67%"
"=""8077""","洛碁","7","3","88.10%","100.00%","0","0.00%"
"=""8080""","印鉐","7","3","89.00%","0.00%","1","14.29%"
"=""8083""","瑞穎","10","3","100.00%","100.00%","1","10.00%"
"=""8084""","巨虹","7","4","100.00%","100.00%","3","42.86%"
"=""8085""","福華","8","3","98.86%","100.00%","0","0.00%"
"=""8086""","宏捷科","10","4","95.83%","100.00%","1","10.00%"
"=""8087""","華鎂鑫","7","3","96.43%","42.86%","1","14.29%"
"=""8088""","品安","7","3","95.00%","100.00%","2","28.57%"
"=""8089""","康全電訊","9","3","98.36%","100.00%","0","0.00%"
"=""8091""","翔名","7","3","96.97%","100.00%","2","28.57%"
"=""8092""","建暐","7","3","100.00%","0.00%","1","14.28%"
"=""8093""","保銳","3","3","80.00%","5.00%","2","28.57%"
"=""8096""","擎亞","7","4","94.00%","100.00%","2","28.57%"
"=""8097""","常珵","7","4","100.00%","14.29%","1","14.29%"
"=""8099""","大世科","9","3","96.83%","100.00%","2","22.22%"
"=""8107""","大億金茂","6","3","90.00%","0.00%","1","16.66%"
"=""8109""","博大","9","4","96.67%","100.00%","2","22.22%"
"=""8111""","立碁","8","3","92.50%","100.00%","1","12.50%"
"=""8121""","越峰","9","3","93.65%","100.00%","0","0.00%"
"=""8147""","正淩","7","3","96.00%","100.00%","3","29.00%"
"=""8155""","博智","9","3","84.00%","100.00%","0","0.00%"
"=""8171""","天宇","9","3","77.92%","100.00%","4","44.00%"
"=""8176""","智捷","7","3","85.71%","100.00%","2","28.57%"
"=""8182""","加高","8","4","97.92%","100.00%","1","12.50%"
"=""8183""","精星","7","3","91.43%","100.00%","1","14.29%"
"=""8227""","巨有科技","7","4","100.00%","100.00%","2","29.00%"
"=""8234""","新漢","7","4","96.43%","100.00%","0","0.00%"
"=""8240""","華宏","7","3","93.00%","100.00%","0","0.00%"
"=""8255""","朋程","10","4","100.00%","100.00%","4","40.00%"
"=""8277""","商丞","8","4","97.78%","100.00%","1","12.50%"
"=""8279""","生展","7","4","89.80%","100.00%","2","28.57%"
"=""8284""","三竹","7","3","100.00%","100.00%","0","0.00%"
"=""8289""","泰藝","9","4","100.00%","100.00%","2","22.22%"
"=""8291""","尚茂","7","3","92.86%","71.43%","0","0.00%"
"=""8299""","群聯","8","3","94.38%","100.00%","1","12.50%"
"=""8342""","益張","7","3","95.24%","100.00%","1","14.29%"
"=""8349""","恒耀國際","9","4","95.56%","44.44%","0","0.00%"
"=""8354""","冠好","7","3","100.00%","100.00%","3","42.86%"
"=""8358""","金居","10","3","92.50%","100.00%","1","10.00%"
"=""8383""","千附","8","4","97.78%","100.00%","4","50.00%"
"=""8390""","金益鼎","9","4","93.40%","100.00%","1","8.00%"
"=""8401""","白紗科","7","3","100.00%","100.00%","2","0.29%"
"=""8403""","盛弘","11","4","96.36%","100.00%","3","27.27%"
"=""8409""","商之器","9","3","98.00%","100.00%","1","11.00%"
"=""8410""","森田","7","4","100.00%","100.00%","2","28.00%"
"=""8415""","大國鋼","12","3","89.29%","100.00%","5","41.67%"
"=""8416""","實威","5","3","100.00%","100.00%","0","0.00%"
"=""8421""","旭源","9","3","100.00%","100.00%","5","55.56%"
"=""8423""","保綠-KY","7","3","97.62%","100.00%","1","14.28%"
"=""8424""","惠普","9","3","92.59%","100.00%","1","11.11%"
"=""8426""","紅木-KY","5","3","100.00%","100.00%","2","40.00%"
"=""8431""","匯鑽科","9","3","91.40%","100.00%","2","22.00%"
"=""8432""","東生華","7","3","98.21%","85.71%","2","28.57%"
"=""8433""","弘帆","7","4","97.14%","0.00%","2","28.57%"
"=""8435""","鉅邁","9","3","100.00%","100.00%","2","22.22%"
"=""8436""","大江","7","4","100.00%","100.00%","2","28.57%"
"=""8437""","大地-KY","9","3","98.29%","100.00%","1","11.11%"
"=""8440""","綠電","8","3","90.10%","100.00%","0","0.00%"
"=""8444""","綠河-KY","7","3","92.86%","100.00%","1","14.29%"
"=""8446""","華研","9","3","98.00%","100.00%","3","33.00%"
"=""8450""","霹靂","7","4","81.00%","100.00%","0","0.00%"
"=""8455""","大拓-KY","5","3","92.31%","100.00%","0","0.00%"
"=""8472""","夠麻吉","7","3","97.62%","100.00%","2","28.57%"
"=""8477""","創業家","7","3","94.64%","100.00%","3","42.85%"
"=""8489""","三貝德","7","3","100.00%","100.00%","2","28.00%"
"=""8905""","裕國","9","3","88.89%","11.11%","1","11.11%"
"=""8906""","花王","8","4","90.47%","87.50%","1","12.50%"
"=""8908""","欣雄","8","3","94.55%","90.91%","1","9.09%"
"=""8916""","光隆","8","4","97.50%","100.00%","2","25.00%"
"=""8917""","欣泰","13","3","89.23%","100.00%","5","38.46%"
"=""8921""","沈氏","7","3","92.86%","100.00%","1","14.29%"
"=""8923""","時報","8","3","93.75%","100.00%","2","25.00%"
"=""8924""","大田","8","3","70.83%","37.50%","2","25.00%"
