"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""3310""","佳穎","58.2320","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","1,034.2014","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","10.7259","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","佳穎精密-桃園市大園區和平西路2段110號 (僅母公司)","1.7523"
"=""3313""","斐成","N/A","N/A","N/A","26.9124","僅母公司","N/A","N/A","N/A","N/A",""
"=""3317""","尼克森","18.3669","母公司","母公司","388.9196","母公司","母公司","1,805.6145","母公司","母公司","0.1653"
"=""3322""","建舜電","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3323""","加百裕","238.3993","僅母公司龍潭廠","僅母公司龍潭廠","989.3472","僅母公司龍潭廠","僅母公司龍潭廠","546.5698","僅母公司龍潭廠 ","僅母公司龍潭廠","0.2463"
"=""3324""","雙鴻","8.0024","涵蓋母公司（台北營運總部）","涵蓋母公司（台北營運總部）","325.6572","涵蓋母公司（台北營運總部）","涵蓋母公司（台北營運總部）","183.9203","涵蓋母公司（台北營運總部）","涵蓋母公司（台北營運總部）","0.0407"
"=""3325""","旭品","N/A","N/A","N/A","60.6500","母子公司","N/A","N/A","N/A","N/A","3.6200"
"=""3332""","幸康","80.5134","組織控制權 彰化福興廠、台北總公司、台中研發中心","彰化縣福興鄉福工路8之1號 台北市大安區信義路四段306號14樓 台中市西屯區市政北七路186號14樓之3","905.2774","組織控制權 彰化福興廠、台北總公司、台中研發中心","彰化縣福興鄉福工路8之1號 台北市大安區信義路四段306號14樓 台中市西屯區市政北七路186號14樓之3","136.2574","組織控制權 彰化福興廠、台北總公司、台中研發中心","彰化縣福興鄉福工路8之1號 台北市大安區信義路四段306號14樓 台中市西屯區市政北七路186號14樓之3","0.7056"
"=""3339""","泰谷","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3349""","寶德","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3354""","律勝","1.7600","母公司","N/A","1,692.9300","母公司","N/A","N/A","N/A","N/A",""
"=""3357""","臺慶科","301.0100","僅母公司","N/A","11,112.0600","僅母公司","N/A","N/A","N/A","N/A","3.6900"
"=""3360""","尚立","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3362""","先進光","32.3288","範疇一為母公司,組織邊界設定,營運控制","N/A","11,402.9874","範疇二為母公司,組織邊界設定,營運控制","N/A","N/A","N/A","N/A","0.0029"
"=""3363""","上詮","163.1499","上詮光纖通信股份有限公司-新竹廠為本次執行溫室氣體盤查對象，主要以廠為單位，且以100％營運控制權設定組織邊界。 此次盤查範圍為：300新竹市東區展業二路18號 地下1樓、1樓、3樓、4樓、7樓 涵蓋時間為：2022年1月1日至2022年12月31日 盤查溫室氣體總類：CO2、CH4、N2O、HFCS、PFCS、SF6、NF3 範疇一溫室氣體排放源：緊急發電引擎(CO2、CH4、N2O)、公務車(CO2、CH4、N2O、R-134A)、消防活動(CO2)、化糞池(CH4)、恆溫恆濕機(R-404A、R-23、R-134A)、冰箱(R-134A)、空調(R-410A)、飲水機(R-134A)、冰水主機(R-134A)、產線除濕機(R-407C)","N/A","854.4961","上詮光纖通信股份有限公司-新竹廠為本次執行溫室氣體盤查對象，主要以廠為單位，且以100％營運控制權設定組織邊界。 此次盤查範圍為：300新竹市東區展業二路18號 地下1樓、1樓、3樓、4樓、7樓 涵蓋時間為：2022年1月1日至2022年12月31日 盤查溫室氣體總類：CO2、CH4、N2O、HFCS、PFCS、SF6、NF3 範疇二溫室氣體排放源：外購電力(CO2)","N/A","192.2972","上詮光纖通信股份有限公司-新竹廠為本次執行溫室氣體盤查對象，主要以廠為單位，且以100％營運控制權設定組織邊界。 此次盤查範圍為：300新竹市東區展業二路18號 地下1樓、1樓、3樓、4樓、7樓 涵蓋時間為：2022年1月1日至2022年12月31日 盤查溫室氣體總類：CO2、CH4、N2O、HFCS、PFCS、SF6、NF3 範疇三溫室氣體排放源：上游原物料運輸(CO2)、商務運輸-出差(CO2)、電力上游開採及輸配碳足跡(CO2)、一般事業廢棄物處理(運輸+焚化)(CO2)","N/A","0.6279"
"=""3372""","典範","52.6000","台灣典範半導體股份有限公司一、二廠","N/A","17,625.8000","台灣典範半導體股份有限公司一、二廠","N/A","N/A","N/A","N/A","20.5200"
"=""3373""","熱映","13.6600","僅母公司","N/A","153.9306","僅母公司","N/A","N/A","N/A","N/A","0.4877"
"=""3374""","精材","30,025.0000","僅母公司","僅母公司","88,468.0000","僅母公司","僅母公司","N/A","N/A","N/A","18.5500"
"=""3379""","彬台","29.2930","僅母公司","N/A","92.9633","僅母公司","N/A","49.0730","僅母公司","N/A",""
"=""3388""","崇越電","211.5353","母公司","母公司","28.4992","母公司","母公司","124.0019","母公司","母公司","0.0921"
"=""3390""","旭軟","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3402""","漢科","0.0000","僅母公司","N/A","454.3100","僅母公司","N/A","0.0000","僅母公司","N/A",""
"=""3426""","台興","12.3172","範圍涵蓋平鎮廠〈桃園市平鎮區工業六路四號A棟6樓〉內的直接與間接排放源進行鑑別，因總公司〈新北市新莊區五權一路 1 號 7 樓之1〉於 2019年起全年度轉承租其他公司行號使用，故排除直接與間接排放源鑑別。","N/A","164.1380","範圍涵蓋平鎮廠〈桃園市平鎮區工業六路四號A棟6樓〉內的直接與間接排放源進行鑑別，因總公司〈新北市新莊區五權一路 1 號 7 樓之1〉於 2019年起全年度轉承租其他公司行號使用，故排除直接與間接排放源鑑別。","N/A","1.2810","範圍涵蓋平鎮廠〈桃園市平鎮區工業六路四號A棟6樓〉內的直接與間接排放源進行鑑別，因總公司〈新北市新莊區五權一路 1 號 7 樓之1〉於 2019年起全年度轉承租其他公司行號使用，故排除直接與間接排放源鑑別。","N/A",""
"=""3430""","奇鈦科","2,152.9477","僅母公司","僅母公司","3,268.5371","僅母公司","僅母公司","11,235.6908","僅母公司(僅範疇三之類別4)","僅母公司(僅範疇三之類別4)","13.1941"
"=""3434""","哲固","25.5320","母公司","N/A","143.9720","母公司","N/A","N/A","N/A","N/A",""
"=""3438""","類比科","N/A","N/A","N/A","822.0000","個體公司","N/A","N/A","N/A","N/A","0.9340"
"=""3441""","聯一光電","N/A","N/A","N/A","32.3430","母公司","N/A","N/A","N/A","N/A",""
"=""3444""","利機","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3455""","由田","216.5000","僅由田新技母公司","N/A","768.7400","僅由田新技母公司","N/A","N/A","N/A","N/A",""
"=""3465""","進泰電子","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3466""","德晉","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3479""","安勤","64.6303","母公司","母公司","925.6202","母公司","母公司","2,369.4172","母公司","母公司","1.0683"
"=""3483""","力致","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3484""","崧騰","144.0770","母公司及華東工廠","N/A","2,748.2885","母公司及華東工廠","N/A","1,390.6213","母公司及華東工廠","N/A","1.2576"
"=""3489""","森寶","16.9723","僅包含母公司數據 ","N/A","209.4530","僅包含母公司數據 ","N/A","N/A","N/A","N/A",""
"=""3490""","單井","0.1300","僅母公司","N/A","767.1000","僅母公司","N/A","N/A","N/A","N/A","3.0931"
"=""3491""","昇達科","58.3500","母公司","N/A","1,058.3400","母公司","N/A","2.9500","母公司","N/A","1.5300"
"=""3492""","長盛","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3498""","陽程","44.4700","僅母公司。","N/A","697.4500","僅母公司。","N/A","N/A","N/A","N/A","0.6208"
"=""3499""","環天科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3508""","位速","52.5487","母公司","N/A","809.9009","母公司","N/A","N/A","N/A","N/A",""
"=""3511""","矽瑪","140.0691","母公司","N/A","4,123.1209","母公司","N/A","N/A","N/A","N/A",""
"=""3512""","皇龍","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3516""","亞帝歐","349.8800","包含合併財務報表之母子公司","N/A","2,926.9600","包含合併財務報表之母子公司","N/A","8.8200","包含合併財務報表之母子公司","N/A","0.1080"
"=""3520""","華盈","89.4145","華盈集團","N/A","1,282.8639","華盈集團","N/A","8,631.3368","華盈集團","N/A","11.9614"
"=""3521""","鴻翊","N/A","N/A","N/A","62.9944","母子公司","N/A","N/A","N/A","N/A",""
"=""3522""","御頂","2,518.3871","1. 總管理處 2. 晶宴會館：7間 3. 頂鮮台南擔仔麵：1間 4. 北海道蛋糕屋：3間 5. 塩胖麵包本舖：1間 6. 御義旅行社股份有限公司 7. 御景生活事業股份有限公司","N/A","4,162.9915","1. 總管理處 2. 晶宴會館：7間 3. 頂鮮台南擔仔麵：1間 4. 北海道蛋糕屋：3間 5. 塩胖麵包本舖：1間 6. 御義旅行社股份有限公司 7. 御景生活事業股份有限公司","N/A","N/A","N/A","N/A","9.1005"
"=""3523""","迎輝","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3526""","凡甲","111.7700","包含合併財務報表之母子公司。","N/A","4,212.8300","包含合併財務報表之母子公司。","N/A","N/A","N/A","N/A","1.8100"
"=""3527""","聚積","61.9300","僅母公司","N/A","898.3300","僅母公司","N/A","N/A","N/A","N/A","0.5443"
"=""3529""","力旺","102.7494","母公司(含子公司)","母公司(含子公司)","1,626.9217","母公司(含子公司)","母公司(含子公司)","44.4430","母公司(含子公司)","母公司(含子公司)","0.5670"
"=""3531""","先益","16.4480","母公司","N/A","1,195.2330","母公司","N/A","30.9190","母公司","N/A","1.0190"
"=""3537""","堡達","111.6963","包含合併財務報表之母子公司","N/A","83.9988","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A",""
"=""3540""","曜越","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3541""","西柏","14.2145","僅個體公司(未含英國子公司)","N/A","597.3720","僅個體公司(未含英國子公司)","N/A","N/A","N/A","N/A","0.4554"
"=""3546""","宇峻","N/A","N/A","N/A","286.6387","母公司","N/A","N/A","N/A","N/A","0.2097"
"=""3548""","兆利","61.9800","母公司","N/A","548.6400","母公司","N/A","236.8800","母公司","N/A","0.0742"
"=""3551""","世禾","950.4981","世禾公司擁有控制權的組織邊界","N/A","13,683.6547","世禾公司擁有控制權的組織邊界","N/A","N/A","N/A","N/A","6.3945"
"=""3552""","同致","128.2893","桃園廠","範疇一","1,128.8376","桃園廠","範疇二","922.3989","桃園廠","範疇三","0.6094"
"=""3555""","博士旺","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3556""","禾瑞亞","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3558""","神準","236.8495","母公司華亞廠","母公司華亞廠","3,775.8184","母公司華亞廠","母公司華亞廠","N/A","N/A","N/A","0.2800"
"=""3564""","其陽","38.4263","母公司","N/A","578.0158","母公司","N/A","N/A","N/A","N/A",""
"=""3567""","逸昌","605.8800","全廠區","N/A","2,348.8700","全廠區","N/A","N/A","N/A","N/A","7.3959"
"=""3570""","大塚","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3577""","泓格","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3580""","友威科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3581""","博磊","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3587""","閎康","5,768.6204","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","8,032.8713","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","2,099.4171","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","閎康科技府份有限公司、閎康科技股份有限公司竹科分公司、閎康科技股份有限公司南科分公司","2.8699"
"=""3594""","磐儀","33.9186","僅母公司 (新北市中和區中正路700號10樓) (新北市中和區建康路119號7樓)","N/A","203.9306","僅母公司 (新北市中和區中正路700號10樓) (新北市中和區建康路119號7樓)","N/A","2,065.7580","僅母公司 (新北市中和區中正路700號10樓) (新北市中和區建康路119號7樓)","N/A","0.2074"
"=""3597""","映興","2.9388","2023/1/1~2023/12/31台灣台中廠區(母公司)","2023/1/1~2023/12/31台灣台中廠區(母公司)","239.6196","2023/1/1~2023/12/31台灣台中廠區(母公司)","2023/1/1~2023/12/31台灣台中廠區(母公司)","47.7492","2023/1/1~2023/12/31台灣台中廠區(母公司)","2023/1/1~2023/12/31台灣台中廠區(母公司)","0.4490"
"=""3609""","三一東林","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3611""","鼎翰","87.4897","新北市新店區民權路95號9F 	 新北市新店區民權路95號11F之2	 新北市新店區民權路95號12F之5	 宜蘭縣五結鄉利工一路二段35號","N/A","474.0921","新北市新店區民權路95號9F 	 新北市新店區民權路95號11F之2	 新北市新店區民權路95號12F之5	 宜蘭縣五結鄉利工一路二段35號","N/A","1,068.3659","新北市新店區民權路95號9F 	 新北市新店區民權路95號11F之2	 新北市新店區民權路95號12F之5	 宜蘭縣五結鄉利工一路二段35號","N/A","0.1484"
"=""3615""","安可","0.0000","母公司","N/A","5,844.0000","母公司","N/A","N/A","N/A","N/A","27.9600"
"=""3623""","富晶通","11.6900","單一公司","N/A","8,904.5000","單一公司","N/A","N/A","N/A","N/A","24.1600"
"=""3624""","光頡","468.1244","母公司","N/A","14,441.5422","母公司","N/A","N/A","N/A","N/A","6.5891"
"=""3625""","西勝","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3628""","盈正","102.0000","台北辦公室與屏東廠。","N/A","365.9800","台北辦公室與屏東廠。","N/A","N/A","N/A","N/A","0.1960"
"=""3629""","地心引力","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3630""","新鉅科","166.5198","僅母公司","N/A","6,417.5433","僅母公司","N/A","N/A","N/A","N/A","5.9063"
"=""3631""","晟楠","15.3470","母公司","N/A","N/A","N/A","N/A","N/A","N/A","N/A","3.0694"
"=""3632""","研勤","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3646""","艾恩特","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3663""","鑫科","192.7030","廠址高雄市路竹區路科八路1號","N/A","1,760.2800","廠址高雄市路竹區路科八路1號","N/A","N/A","N/A","N/A","5.1300"
"=""3664""","安瑞-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3666""","光耀","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3672""","康聯訊","21.6686","母公司","N/A","138.6164","母公司","N/A","N/A","N/A","N/A","0.4327"
"=""3675""","德微","55.0100","包含合併財務報表之母子公司","N/A","9,818.7400","包含合併財務報表之母子公司","N/A","5.8100"," 包含合併財務報表之母子公司","N/A","5.6766"
"=""3680""","家登","623.2968","家登精密工業股份有限公司總公司、樹谷廠、南科廠、復興廠","N/A","8,132.2469","家登精密工業股份有限公司總公司、樹谷廠、南科廠、復興廠","N/A","1,809.5012","家登精密工業股份有限公司總公司、樹谷廠、南科廠、復興廠","N/A","2.5047"
"=""3684""","榮昌","110.9515","榮昌科技股份有限公司","N/A","176.0844","榮昌科技股份有限公司","N/A","N/A","N/A","N/A","0.3855"
"=""3685""","元創精密","385.8600","合併財務報表之母子公司","N/A","5,405.6300","合併財務報表之母子公司","N/A","N/A","N/A","N/A",""
"=""3687""","歐買尬","N/A","N/A","N/A","50.9340","僅母公司","N/A","N/A","N/A","N/A",""
"=""3689""","湧德","1,448.3500","總公司與中國大陸子公司中江湧德電子股份有限公司。","N/A","2,289.5300","總公司、台灣子公司泉德電子與中國大陸子公司中江湧德電子股份有限公司。","N/A","45,195.1700","總公司、台灣子公司泉德電子與中國大陸子公司中江湧德電子股份有限公司。","N/A","7.9900"
"=""3691""","碩禾","3,685.5600","僅母公司(本公司新豐廠及湖口廠)","N/A","3,680.4200","僅母公司(本公司新豐廠及湖口廠)","N/A","N/A","N/A","N/A","1.9346"
"=""3693""","營邦","120.9406","母公司","N/A","2,156.7161","母公司","N/A","19,567.3617","母公司","N/A","0.3000"
"=""3707""","漢磊","29,985.0000","母公司","N/A","37,259.0000","母公司","N/A","N/A","N/A","N/A","21.2932"
"=""3709""","鑫聯大投控","115.6290","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","762.7490","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","58,649.2820","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","鑫聯大投資控股股份有限公司及部分列入合併財務報表之子公司(涵蓋台灣地區、中國部分地區)","0.1140"
"=""3710""","連展投控","647.6027","投控/連展/連訊/連騰(含廠區深圳/天津/昆山/天鑫/江西不含關係交易)","N/A","15,677.3219","投控/連展/連訊/連騰(含廠區深圳/天津/昆山/天鑫/江西不含關係交易)","N/A","51.0250","投控/連展/連訊/連騰 台北廠區公出執行業務油資補助","N/A","3.5479"
"=""3713""","新晶投控","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4102""","永日","4,004.0049","僅母公司","N/A","4,858.5408","僅母公司","N/A","4,599.7369","僅母公司","N/A","18.6494"
"=""4105""","東洋","1,700.2181","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","8,488.8048","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","2,549.5243","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","母公司(南港總公司、中壢廠、六堵廠、內湖製劑研發中心)","2.3100"
"=""4107""","邦特","202.2780","2023年宜蘭廠自行盤查 ","N/A","4,179.5820","2023年宜蘭廠自行盤查","N/A","8,855.6710","2023年宜蘭廠自行盤查","N/A","6.8094"
"=""4109""","加捷生醫","35.9570","全廠區","N/A","411.9224","全廠區","N/A","N/A","N/A","N/A","1.6982"
"=""4111""","濟生","2,916.8391","總公司、觀光工廠、台北南京辦事處、台北三重辦事處、台中辦事處、台南辦事處、高雄辦事處","N/A","3,817.2410","總公司、觀光工廠、台北南京辦事處、台北三重辦事處、台中辦事處、台南辦事處、高雄辦事處","N/A","93.8616","總公司、觀光工廠、台北南京辦事處、台北三重辦事處、台中辦事處、台南辦事處、高雄辦事處","N/A","6.3469"
"=""4113""","聯上","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4114""","健喬","12.0087","健喬總公司、健喬廠、健康廠、七星廠、優良廠","N/A","8,838.8257","健喬總公司、健喬廠、健康廠、七星廠、優良廠","N/A","N/A","N/A","N/A","1.7218"
"=""4116""","明基醫","65.6417","明基醫內湖總公司、龜山廠、臺中廠","N/A","642.4144","明基醫內湖總公司、龜山廠、臺中廠","N/A","N/A","N/A","N/A","1.6370"
"=""4120""","友華","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4121""","優盛","N/A","N/A","N/A","558.1352","台北總公司及大陸廠區","N/A","N/A","N/A","N/A",""
"=""4123""","晟德","153.3900","本公司新竹工廠。","N/A","2,551.7100","本公司新竹工廠。","N/A","N/A","N/A","N/A","2.8500"
"=""4126""","太醫","610.1999","全公司","全公司","5,401.6808","全公司","全公司","1,123.9906","銅科廠","銅科廠","2.5911"
"=""4127""","天良","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4128""","中天","1,684.4238","包含合併財務報表之母子公司","包含合併財務報表之母子公司","5,354.9889","包含合併財務報表之母子公司","包含合併財務報表之母子公司","50.9816","母公司及棉花田生機之差旅、母公司之營運廢棄物排放","母公司及棉花田生機之差旅、母公司之營運廢棄物排放","4.1739"
"=""4129""","聯合","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4130""","健亞","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4131""","浩泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4138""","曜亞","23.2125","母公司辦公室","N/A","107.6868","母公司辦公室","N/A","N/A","N/A","N/A","0.1220"
"=""4139""","馬光-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4147""","中裕","620.0549","母公司","N/A","1,992.4874","母公司","N/A","0.7296","母公司","N/A","6.3896"
"=""4153""","鈺緯","2.4842","與財務報表一致","N/A","200.2503","與財務報表一致","N/A","N/A","N/A","N/A",""
"=""4154""","樂威科-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4157""","太景*-KY","0.2600","太景台灣","N/A","769.1400","太景台灣","N/A","N/A","N/A","N/A","0.3400"
"=""4160""","訊聯基因","117.5100","包含合併財務報表之母子公司","N/A","601.9300","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A","1.2143"
"=""4161""","聿新科","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4162""","智擎","41.9834","全公司","全公司範疇一","67.0343","全公司範疇二","全公司範疇二","N/A","N/A","N/A",""
"=""4163""","鐿鈦","165.4260","本公司所有廠區及國內子公司","N/A","3,797.8310","本公司所有廠區及國內子公司","N/A","N/A","N/A","N/A","1.6210"
"=""4167""","松瑞藥","1,372.5940","竹南廠、南科廠與南科針劑廠","N/A","7,166.5590","竹南廠、南科廠與南科針劑廠","N/A","N/A","N/A","N/A","8.0100"
"=""4168""","醣聯","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4171""","瑞基","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4173""","久裕","69.2547","母公司及其子公司 新北市中和區中正路880號14樓之5(總部及其北區客服中心) 桃園市桃園區興邦路43巷2之1號4樓、3樓、1樓A區(倉儲物流中心) 台中市南區復興路一段270號3樓(中區客服中心) 高雄市三民區建國一路458號3樓(南區客服中心)","溫室氣體種類: ■CO2; ■CH4; ■N2O; ■NF3; ■SF6; ■HFCs; ■PFCs","2,080.2577","母公司及其子公司 新北市中和區中正路880號14樓之5(總部及其北區客服中心) 桃園市桃園區興邦路43巷2之1號4樓、3樓、1樓A區(倉儲物流中心) 台中市南區復興路一段270號3樓(中區客服中心) 高雄市三民區建國一路458號3樓(南區客服中心)","溫室氣體種類: ■CO2; ■CH4; ■N2O; ■NF3; ■SF6; ■HFCs; ■PFCs","835.8220","母公司及其子公司 新北市中和區中正路880號14樓之5(總部及其北區客服中心) 桃園市桃園區興邦路43巷2之1號4樓、3樓、1樓A區(倉儲物流中心) 台中市南區復興路一段270號3樓(中區客服中心) 高雄市三民區建國一路458號3樓(南區客服中心)","溫室氣體種類: ■CO2; ■CH4; ■N2O; ■NF3; ■SF6; ■HFCs; ■PFCs","2.6200"
"=""4174""","浩鼎","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4175""","杏一","N/A","N/A","N/A","6,673.0000","排放量為總公司、全國各門市及物流總倉之總和。","N/A","N/A","N/A","N/A",""
"=""4183""","福永生技","99.9500","母公司","N/A","448.8460","母公司","N/A","N/A","N/A","N/A","1.1680"
"=""4188""","安克","0.0000","台北公司及楊梅工廠","N/A","11.4900","台北公司及楊梅工廠","N/A","N/A","N/A","N/A",""
"=""4192""","杏國","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4198""","欣大健康","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4205""","中華食","7,622.9205","高雄廠、屏東廠、台中營業所、台北營業所","N/A","6,173.2302","高雄廠、屏東廠、台中營業所、台北營業所","N/A","N/A","N/A","N/A","7.0605"
"=""4207""","環泰","28,147.8604","台灣南崁廠","台灣南崁廠","4,629.9479","台灣南崁廠","台灣南崁廠","N/A","N/A","N/A","17.2600"
"=""4303""","信立","730.0000","僅母公司","N/A","669.0000","僅母公司","N/A","N/A","N/A","N/A","8.6395"
"=""4304""","勝昱","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4305""","世坤","2,489.1175","母公司","N/A","6,619.1060","母公司","N/A","2,020.5534","母公司","N/A","9.6930"
"=""4401""","東隆興","5,287.0000","母公司","N/A","30,801.0000","母公司","N/A","N/A","N/A","N/A","13.8661"
"=""4402""","福大","N/A","N/A","N/A","21.0820","僅母公司","N/A","N/A","N/A","N/A",""
"=""4406""","新昕纖","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4413""","飛寶企業","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4416""","三圓","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4417""","金洲","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4419""","元勝","738.9458","包含合併財務報表之母子公司","N/A","1,881.8710","包含合併財務報表之母子公司","N/A","N/A","N/A","N/A",""
"=""4420""","光明","22.2868","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","9,318.2284","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","65,704.3330","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","N/A","13.5566"
"=""4430""","耀億","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4432""","銘旺實","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4433""","興采","10,928.6530","染一廠、總公司","N/A","267,352.7352","染一廠、總公司","N/A","N/A","N/A","N/A","0.1058"
"=""4442""","竣邦-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4502""","健信","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4503""","金雨","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4506""","崇友","373.8575","母子公司","N/A","1,090.1394","母子公司","N/A","258.5385","母子公司","N/A","0.2779"
"=""4510""","高鋒","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""4513""","福裕","259.7000","母公司","N/A","766.3000","母公司","N/A","N/A","N/A","N/A",""
