"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""3226""","至寶電","3","3","100.00%","4","100.00%"
"=""3227""","原相","4","4","100.00%","4","100.00%"
"=""3228""","金麗科","4","4","100.00%","4","93.75%"
"=""3230""","錦明","4","2","100.00%","5","93.00%"
"=""3232""","昱捷","3","3","100.00%","3","93.33%"
"=""3234""","光環","4","4","100.00%","4","92.86%"
"=""3236""","千如","4","3","100.00%","3","100.00%"
"=""3252""","海灣","3","2","100.00%","3","100.00%"
"=""3259""","鑫創","3","3","100.00%","3","100.00%"
"=""3260""","威剛","5","5","92.31%","5","94.44%"
"=""3264""","欣銓","4","4","100.00%","4","100.00%"
"=""3265""","台星科","3","2","100.00%","3","100.00%"
"=""3268""","海德威","3","3","100.00%","3","100.00%"
"=""3272""","東碩","4","4","100.00%","4","100.00%"
"=""3276""","宇環","3","3","83.33%","3","93.33%"
"=""3284""","太普高","3","3","100.00%","3","100.00%"
"=""3285""","微端","3","3","100.00%","3","100.00%"
"=""3287""","廣寰科","3","3","100.00%","3","100.00%"
"=""3288""","點晶","3","3","100.00%","4","95.75%"
"=""3289""","宜特","3","2","100.00%","4","85.00%"
"=""3290""","東浦","3","3","100.00%","3","100.00%"
"=""3293""","鈊象","3","3","100.00%","3","100.00%"
"=""3294""","英濟","3","3","83.33%","3","86.67%"
"=""3297""","杭特","3","3","100.00%","3","100.00%"
"=""3303""","岱稜","3","3","100.00%","3","100.00%"
"=""3306""","鼎天","3","3","100.00%","3","96.00%"
"=""3310""","佳穎","3","2","100.00%","2","100.00%"
"=""3313""","斐成","3","3","100.00%","3","100.00%"
"=""3317""","尼克森","3","3","100.00%","4","100.00%"
"=""3322""","建舜電","3","3","100.00%","3","100.00%"
"=""3323""","加百裕","3","2","100.00%","4","92.86%"
"=""3324""","雙鴻","3","3","100.00%","4","100.00%"
"=""3325""","旭品","3","3","100.00%","3","100.00%"
"=""3332""","幸康","3","3","100.00%","3","100.00%"
"=""3339""","泰谷","3","3","100.00%","3","100.00%"
"=""3349""","寶德","3","3","83.33%","3","86.67%"
"=""3354""","律勝","4","4","90.91%","4","77.27%"
"=""3357""","臺慶科","3","3","100.00%","3","100.00%"
"=""3360""","尚立","3","3","100.00%","4","100.00%"
"=""3362""","先進光","3","3","100.00%","4","100.00%"
"=""3363""","上詮","4","3","100.00%","3","91.67%"
"=""3372""","典範","3","3","100.00%","3","100.00%"
"=""3373""","熱映","3","3","100.00%","3","100.00%"
"=""3374""","精材","3","3","83.33%","4","94.12%"
"=""3379""","彬台","3","2","100.00%","3","91.67%"
"=""3388""","崇越電","3","3","100.00%","3","91.67%"
"=""3390""","旭軟","3","3","88.89%","3","93.33%"
"=""3402""","漢科","3","2","100.00%","2","90.91%"
