"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""5603""","陸海","3","2","100.00%","4","92.86%"
"=""5604""","中連","3","3","88.89%","3","86.67%"
"=""5609""","中菲行","3","3","100.00%","3","100.00%"
"=""5701""","劍湖山","3","2","100.00%","3","89.00%"
"=""5703""","亞都麗緻","3","3","100.00%","3","100.00%"
"=""5704""","老爺知","3","3","100.00%","3","100.00%"
"=""5864""","致和證","3","2","100.00%","3","94.44%"
"=""5878""","台名","3","3","93.00%","3","93.00%"
"=""5902""","德記","3","3","100.00%","3","100.00%"
"=""5903""","全家","3","3","100.00%","3","100.00%"
"=""5904""","寶雅","4","4","100.00%","4","90.91%"
"=""5905""","南仁湖","3","3","100.00%","3","100.00%"
"=""6015""","宏遠證","4","4","100.00%","4","100.00%"
"=""6016""","康和證","3","2","100.00%","2","100.00%"
"=""6020""","大展證","3","3","83.33%","3","88.89%"
"=""6021""","美好證","3","3","93.33%","3","94.50%"
"=""6023""","元大期貨","3","3","100.00%","3","100.00%"
"=""6026""","福邦證","3","3","100.00%","3","100.00%"
"=""6101""","寬魚國際","4","4","75.00%","4","75.00%"
"=""6103""","合邦","3","3","100.00%","3","100.00%"
"=""6104""","創惟","3","3","100.00%","4","100.00%"
"=""6109""","亞元","3","3","100.00%","3","100.00%"
"=""6111""","大宇資","3","3","100.00%","3","100.00%"
"=""6113""","亞矽","3","3","100.00%","3","100.00%"
"=""6114""","久威","3","3","100.00%","3","100.00%"
"=""6118""","建達","3","3","83.33%","3","91.67%"
"=""6121""","新普","3","3","91.67%","4","96.88%"
"=""6122""","擎邦","3","0","100.00%","3","100.00%"
"=""6123""","上奇","3","3","100.00%","3","100.00%"
"=""6124""","業強","3","3","100.00%","3","100.00%"
"=""6125""","廣運","3","3","100.00%","3","100.00%"
"=""6126""","信音","3","3","100.00%","3","100.00%"
"=""6127""","九豪","4","4","100.00%","4","100.00%"
"=""6129""","普誠","4","4","100.00%","4","100.00%"
"=""6130""","上亞科技","3","3","100.00%","3","96.30%"
"=""6134""","萬旭","3","3","100.00%","4","95.00%"
"=""6138""","茂達","4","4","100.00%","4","100.00%"
"=""6140""","訊達電腦","3","3","100.00%","3","100.00%"
"=""6143""","振曜","4","4","90.48%","4","90.91%"
"=""6144""","得利影","3","3","100.00%","3","100.00%"
"=""6146""","耕興","4","4","100.00%","4","100.00%"
"=""6147""","頎邦","4","4","100.00%","4","100.00%"
"=""6148""","驊宏資","3","3","100.00%","4","100.00%"
"=""6150""","撼訊","3","3","100.00%","3","100.00%"
"=""6151""","晉倫","3","3","100.00%","3","100.00%"
"=""6154""","順發","4","4","100.00%","4","88.89%"
"=""6156""","松上","3","3","88.89%","3","93.33%"
"=""6158""","禾昌","3","3","100.00%","3","93.33%"
"=""6160""","欣技","3","3","100.00%","4","95.00%"
"=""6161""","捷波","3","3","100.00%","3","100.00%"
"=""6163""","華電網","3","3","91.67%","4","83.33%"
"=""6167""","久正","4","4","100.00%","4","100.00%"
"=""6169""","昱泉","3","3","100.00%","3","100.00%"
"=""6170""","統振","3","3","100.00%","3","100.00%"
"=""6171""","大城地產","3","3","100.00%","4","100.00%"
"=""6173""","信昌電","3","3","100.00%","3","100.00%"
"=""6174""","安碁","3","2","100.00%","3","100.00%"
"=""6175""","立敦","3","2","100.00%","3","100.00%"
"=""6179""","亞通","3","3","100.00%","3","96.67%"
"=""6180""","橘子","4","4","81.25%","4","85.00%"
"=""6182""","合晶","3","3","100.00%","3","100.00%"
"=""6185""","幃翔","3","3","100.00%","3","100.00%"
"=""6186""","新潤","4","4","100.00%","4","95.83%"
"=""6187""","萬潤","3","3","91.67%","3","88.89%"
"=""6188""","廣明","3","3","100.00%","3","100.00%"
"=""6190""","萬泰科","3","2","100.00%","4","100.00%"
"=""6194""","育富","3","3","83.33%","3","83.33%"
"=""6195""","詩肯","3","3","100.00%","3","100.00%"
"=""6198""","瑞築","3","3","100.00%","3","100.00%"
"=""6199""","天品","3","2","88.89%","2","78.26%"
"=""6203""","海韻電","3","3","100.00%","3","100.00%"
"=""6204""","艾華","3","3","100.00%","3","93.33%"
"=""6207""","雷科","3","2","100.00%","3","100.00%"
"=""6208""","日揚","3","3","100.00%","3","100.00%"
"=""6210""","慶生","3","3","100.00%","3","100.00%"
"=""6212""","理銘","3","3","100.00%","4","100.00%"
"=""6217""","中探針","4","4","100.00%","4","100.00%"
"=""6218""","豪勉","3","3","100.00%","3","100.00%"
"=""6219""","富旺","4","4","100.00%","4","82.00%"
"=""6220""","岳豐","3","3","100.00%","3","100.00%"
"=""6221""","晉泰","3","2","100.00%","3","93.33%"
"=""6222""","上揚","3","3","100.00%","3","100.00%"
"=""6223""","旺矽","3","2","100.00%","3","100.00%"
"=""6227""","茂綸","4","4","100.00%","4","100.00%"
"=""6228""","全譜","3","3","100.00%","3","93.33%"
"=""6229""","研通","3","3","100.00%","3","83.33%"
"=""6231""","系微","3","3","100.00%","4","100.00%"
"=""6233""","旺玖","4","4","100.00%","4","100.00%"
"=""6234""","高僑","3","3","100.00%","3","100.00%"
"=""6236""","中湛","3","3","100.00%","3","100.00%"
"=""6237""","驊訊","3","3","91.67%","4","95.24%"
"=""6240""","松崗","3","3","100.00%","3","100.00%"
"=""6241""","易通展","3","3","83.33%","3","90.48%"
"=""6242""","立康","3","3","100.00%","4","100.00%"
"=""6244""","茂迪","3","3","100.00%","3","100.00%"
"=""6245""","立端","3","2","100.00%","3","100.00%"
"=""6246""","臺龍","3","3","88.89%","3","79.17%"
"=""6248""","沛波","3","3","100.00%","3","95.83%"
"=""6259""","百徽","3","3","100.00%","3","100.00%"
"=""6261""","久元","3","3","98.00%","3","98.00%"
"=""6263""","普萊德","4","4","100.00%","4","100.00%"
"=""6264""","富裔","3","3","100.00%","3","95.00%"
"=""6265""","方土昶","3","3","88.89%","4","92.86%"
"=""6266""","泰詠","4","4","100.00%","4","100.00%"
"=""6270""","倍微","3","3","100.00%","4","100.00%"
"=""6274""","台燿","4","4","100.00%","4","100.00%"
"=""6275""","元山","3","3","100.00%","3","100.00%"
"=""6276""","安鈦克","3","3","100.00%","3","93.30%"
"=""6279""","胡連","3","3","100.00%","3","3.00%"
"=""6284""","佳邦","3","3","95.24%","3","95.24%"
"=""6287""","元隆","3","3","66.67%","4","55.17%"
"=""6290""","良維","3","3","100.00%","4","100.00%"
"=""6291""","沛亨","3","3","100.00%","3","100.00%"
"=""6292""","迅德","3","2","100.00%","3","100.00%"
"=""6294""","智基","3","3","83.33%","3","91.67%"
"=""6411""","晶焱","3","3","100.00%","3","100.00%"
"=""6417""","韋僑","3","3","100.00%","3","100.00%"
"=""6418""","詠昇","3","3","93.33%","3","100.00%"
"=""6419""","京晨科","3","3","100.00%","3","100.00%"
"=""6425""","易發","3","3","86.67%","3","86.67%"
"=""6432""","今展科","3","3","100.00%","3","100.00%"
"=""6435""","大中","4","4","100.00%","4","100.00%"
"=""6441""","廣錠","3","3","100.00%","3","100.00%"
"=""6457""","紘康","3","3","100.00%","3","100.00%"
"=""6461""","益得","3","3","100.00%","3","100.00%"
"=""6462""","神盾","3","3","100.00%","4","92.86%"
"=""6465""","威潤","3","3","83.33%","3","93.33%"
"=""6469""","大樹","4","4","85.71%","4","95.24%"
"=""6470""","宇智","3","3","100.00%","4","100.00%"
"=""6482""","弘煜科","4","4","100.00%","4","100.00%"
"=""6485""","點序","3","3","100.00%","3","100.00%"
"=""6486""","互動","3","3","100.00%","3","100.00%"
"=""6488""","環球晶","3","3","100.00%","4","100.00%"
"=""6492""","生華科","3","3","100.00%","3","93.33%"
"=""6494""","九齊","3","3","100.00%","3","100.00%"
"=""6496""","科懋","3","3","93.33%","3","88.89%"
"=""6499""","益安","3","3","100.00%","3","100.00%"
"=""6506""","雙邦","3","3","100.00%","3","100.00%"
"=""6508""","惠光","3","3","100.00%","3","100.00%"
"=""6509""","聚和","3","3","100.00%","4","78.57%"
"=""6510""","精測","3","3","100.00%","3","100.00%"
"=""6512""","啟發電","3","3","100.00%","3","100.00%"
"=""6516""","勤崴國際","3","3","100.00%","3","100.00%"
"=""6517""","保勝光學","3","3","100.00%","3","94.44%"
"=""6523""","達爾膚","3","3","100.00%","3","100.00%"
"=""6527""","明達醫","3","3","100.00%","3","100.00%"
"=""6530""","創威","4","4","100.00%","4","100.00%"
"=""6532""","瑞耘","3","3","100.00%","3","91.67%"
"=""6535""","順藥","3","3","100.00%","4","98.41%"
"=""6538""","倉和","4","4","100.00%","4","100.00%"
"=""6542""","隆中","3","3","100.00%","3","98.00%"
"=""6546""","正基","3","3","100.00%","3","93.33%"
"=""6547""","高端疫苗","3","3","100.00%","3","100.00%"
"=""6548""","長科*","3","3","100.00%","3","100.00%"
"=""6556""","勝品","2","2","100.00%","2","100.00%"
"=""6560""","欣普羅","3","3","100.00%","3","100.00%"
"=""6561""","是方","3","3","91.67%","3","86.67%"
"=""6568""","宏觀","3","3","100.00%","2","100.00%"
"=""6569""","醫揚","3","3","100.00%","3","100.00%"
"=""6570""","維田","4","4","100.00%","4","100.00%"
"=""6574""","霈方","3","3","88.89%","3","91.67%"
"=""6576""","逸達","4","4","94.44%","4","96.55%"
"=""6577""","勁豐","3","3","88.89%","4","96.43%"
"=""6578""","達邦蛋白","4","4","90.90%","3","95.23%"
"=""6584""","南俊國際","3","3","100.00%","4","95.00%"
"=""6588""","東典","3","3","91.67%","3","100.00%"
"=""6589""","台康生技","4","4","93.75%","4","100.00%"
"=""6590""","普鴻","3","3","83.33%","3","91.67%"
"=""6593""","台灣銘板","3","3","93.00%","3","92.00%"
"=""6596""","寬宏藝術","3","3","100.00%","3","100.00%"
"=""6603""","富強鑫","4","4","100.00%","4","100.00%"
"=""6609""","瀧澤科","3","3","91.67%","3","96.67%"
"=""6612""","奈米醫材","3","3","100.00%","3","100.00%"
"=""6613""","朋億*","4","4","100.00%","4","100.00%"
"=""6615""","慧智","3","3","100.00%","3","100.00%"
"=""6616""","特昇-KY","3","3","100.00%","3","100.00%"
"=""6617""","共信-KY","3","3","100.00%","3","100.00%"
"=""6624""","萬年清","3","3","100.00%","3","100.00%"
"=""6629""","泰金-KY","3","3","100.00%","3","100.00%"
"=""6637""","醫影","4","4","100.00%","4","95.00%"
"=""6640""","均華","3","3","100.00%","3","100.00%"
"=""6642""","富致","3","3","100.00%","3","100.00%"
"=""6643""","M31","5","3","93.75%","3","94.44%"
"=""6649""","台生材","3","3","100.00%","3","100.00%"
"=""6651""","全宇昕","4","4","100.00%","4","100.00%"
"=""6654""","天正國際","3","3","100.00%","3","100.00%"
"=""6661""","威健生技","3","3","100.00%","3","100.00%"
"=""6662""","樂斯科","3","3","100.00%","3","100.00%"
"=""6664""","群翊","3","3","100.00%","3","100.00%"
"=""6667""","信紘科","4","4","93.33%","4","94.44%"
"=""6679""","鈺太","3","3","83.33%","3","90.00%"
"=""6680""","鑫創電子","3","3","100.00%","3","94.44%"
"=""6683""","雍智科技","3","3","100.00%","3","100.00%"
"=""6684""","安格","3","3","100.00%","3","100.00%"
"=""6690""","安碁資訊","4","4","100.00%","4","100.00%"
"=""6692""","進能服","3","3","100.00%","4","100.00%"
"=""6693""","廣閎科","3","3","88.89%","3","100.00%"
"=""6697""","東捷資訊","3","3","100.00%","3","100.00%"
"=""6703""","軒郁","3","3","100.00%","3","100.00%"
"=""6708""","天擎","3","3","100.00%","3","100.00%"
"=""6712""","長聖","3","3","100.00%","3","100.00%"
"=""6716""","應廣","3","3","100.00%","3","100.00%"
"=""6721""","信實","4","4","91.67%","4","85.00%"
"=""6727""","亞泰金屬","3","3","87.50%","3","87.50%"
"=""6728""","上洋","3","3","88.89%","3","100.00%"
"=""6732""","昇佳電子","3","3","100.00%","3","100.00%"
"=""6733""","博晟生醫","3","3","83.33%","4","92.25%"
"=""6735""","美達科技","3","3","100.00%","3","100.00%"
"=""6741""","91APP*-KY","3","3","88.89%","3","91.67%"
"=""6747""","亨泰光","3","3","100.00%","3","100.00%"
"=""6751""","智聯服務","4","4","87.50%","4","95.00%"
"=""6752""","叡揚","3","3","100.00%","3","100.00%"
"=""6761""","穩得","3","3","100.00%","3","100.00%"
"=""6762""","達亞","3","3","100.00%","4","100.00%"
"=""6763""","綠界科技","4","4","93.75%","4","95.00%"
"=""6767""","台微醫","3","3","100.00%","3","100.00%"
"=""6785""","昱展新藥","3","3","100.00%","3","100.00%"
"=""6788""","華景電","4","4","100.00%","4","100.00%"
"=""6791""","虎門科技","3","3","100.00%","4","100.00%"
"=""6803""","崑鼎","3","3","100.00%","3","100.00%"
"=""6804""","明係","3","3","100.00%","4","96.67%"
"=""6811""","宏碁資訊","3","3","100.00%","4","100.00%"
"=""6821""","聯寶","3","3","100.00%","3","100.00%"
"=""6823""","濾能","3","3","100.00%","3","95.24%"
"=""6829""","千附精密","3","3","100.00%","3","93.33%"
"=""6840""","東研信超","3","3","100.00%","4","100.00%"
"=""6841""","長佳智能","3","3","100.00%","3","100.00%"
"=""6843""","進典","4","4","100.00%","4","100.00%"
"=""6844""","諾貝兒","3","3","100.00%","3","100.00%"
"=""6846""","綠茵","3","3","100.00%","3","100.00%"
"=""6855""","數泓科","3","3","100.00%","3","100.00%"
"=""6856""","鑫傳","3","3","100.00%","3","100.00%"
"=""6859""","伯特光","3","3","88.89%","3","94.44%"
"=""6865""","偉康科技","3","3","100.00%","3","100.00%"
"=""6870""","騰雲","3","3","100.00%","3","100.00%"
"=""6874""","倍力","3","3","100.00%","3","100.00%"
"=""6875""","國邑*","3","3","100.00%","3","100.00%"
"=""6877""","鏵友益","3","3","100.00%","3","100.00%"
"=""6881""","潤德","3","3","88.89%","3","86.67%"
"=""6894""","衛司特","3","3","100.00%","3","100.00%"
"=""6895""","宏碩系統","3","3","88.89%","3","95.24%"
"=""6899""","創為精密","3","3","100.00%","3","100.00%"
"=""6903""","巨漢","3","3","100.00%","3","100.00%"
"=""6904""","伯鑫","3","3","88.89%","4","95.00%"
"=""6922""","宸曜","4","4","93.75%","4","96.43%"
"=""6929""","佑全","3","3","83.33%","3","88.89%"
"=""6953""","家碩","3","3","100.00%","3","100.00%"
"=""7402""","邑錡","3","3","100.00%","3","100.00%"
"=""7556""","意德士科技","3","3","100.00%","3","100.00%"
"=""8024""","佑華","3","3","100.00%","3","100.00%"
"=""8027""","鈦昇","3","3","100.00%","3","100.00%"
"=""8032""","光菱","3","3","100.00%","3","100.00%"
"=""8034""","榮群","3","3","100.00%","4","100.00%"
"=""8038""","長園科","3","3","100.00%","4","100.00%"
"=""8040""","九暘","4","4","100.00%","4","100.00%"
"=""8042""","金山電","4","4","100.00%","4","95.83%"
"=""8043""","蜜望實","2","2","88.89%","2","90.00%"
"=""8044""","網家","3","3","100.00%","3","92.00%"
"=""8047""","星雲","3","3","83.33%","3","91.67%"
"=""8048""","德勝","3","3","100.00%","3","100.00%"
"=""8049""","晶采","3","3","100.00%","3","100.00%"
"=""8050""","廣積","3","3","100.00%","4","100.00%"
"=""8054""","安國","3","3","100.00%","3","100.00%"
"=""8059""","凱碩","3","3","100.00%","4","92.86%"
"=""8064""","東捷","3","3","100.00%","3","100.00%"
"=""8066""","來思達","3","3","100.00%","3","100.00%"
"=""8067""","志旭","3","3","100.00%","3","100.00%"
"=""8068""","全達","3","3","100.00%","3","93.00%"
"=""8069""","元太","3","3","100.00%","3","100.00%"
"=""8071""","能率網通","3","3","100.00%","3","100.00%"
"=""8074""","鉅橡","3","3","83.33%","4","100.00%"
"=""8076""","伍豐","3","2","100.00%","2","100.00%"
"=""8077""","洛碁","3","3","100.00%","3","93.33%"
"=""8080""","印鉐","3","3","0.00%","3","86.00%"
"=""8083""","瑞穎","3","3","100.00%","3","100.00%"
"=""8084""","巨虹","4","4","100.00%","4","100.00%"
"=""8085""","福華","3","3","100.00%","3","100.00%"
"=""8086""","宏捷科","3","3","100.00%","4","85.71%"
"=""8087""","華鎂鑫","3","2","93.33%","3","95.24%"
"=""8088""","品安","3","3","100.00%","4","100.00%"
"=""8089""","康全電訊","3","3","100.00%","3","100.00%"
"=""8091""","翔名","3","3","100.00%","3","100.00%"
"=""8092""","建暐","3","3","100.00%","3","100.00%"
"=""8093""","保銳","3","3","100.00%","4","90.00%"
"=""8096""","擎亞","3","3","100.00%","4","100.00%"
"=""8097""","常珵","3","3","100.00%","4","100.00%"
"=""8099""","大世科","3","3","100.00%","3","100.00%"
"=""8107""","大億金茂","3","3","88.24%","3","90.00%"
"=""8109""","博大","3","3","100.00%","4","100.00%"
"=""8111""","立碁","3","3","100.00%","3","86.67%"
"=""8121""","越峰","3","3","100.00%","3","100.00%"
"=""8147""","正淩","3","3","100.00%","3","100.00%"
"=""8155""","博智","3","3","100.00%","3","100.00%"
"=""8171""","天宇","3","3","94.44%","3","91.67%"
"=""8176""","智捷","3","3","100.00%","3","91.67%"
"=""8182""","加高","3","3","100.00%","4","95.83%"
"=""8183""","精星","3","3","100.00%","3","100.00%"
"=""8227""","巨有科技","4","4","100.00%","4","100.00%"
"=""8234""","新漢","3","2","100.00%","4","93.75%"
"=""8240""","華宏","3","2","83.00%","3","94.00%"
"=""8255""","朋程","3","3","100.00%","4","100.00%"
"=""8277""","商丞","4","4","100.00%","4","100.00%"
"=""8279""","生展","4","4","100.00%","4","100.00%"
"=""8284""","三竹","3","3","100.00%","3","100.00%"
"=""8289""","泰藝","3","3","100.00%","4","100.00%"
"=""8291""","尚茂","3","3","83.33%","3","91.67%"
"=""8299""","群聯","3","3","93.75%","3","95.83%"
"=""8342""","益張","3","3","100.00%","3","93.33%"
"=""8349""","恒耀國際","4","4","100.00%","4","100.00%"
"=""8354""","冠好","3","3","100.00%","3","100.00%"
"=""8358""","金居","3","3","100.00%","3","100.00%"
"=""8383""","千附","3","3","100.00%","3","100.00%"
"=""8390""","金益鼎","3","3","100.00%","4","100.00%"
"=""8401""","白紗科","3","3","100.00%","3","100.00%"
"=""8403""","盛弘","3","3","100.00%","4","100.00%"
"=""8409""","商之器","3","3","83.00%","3","93.00%"
"=""8410""","森田","4","4","100.00%","4","100.00%"
"=""8415""","大國鋼","3","3","100.00%","3","100.00%"
"=""8416""","實威","3","3","100.00%","3","100.00%"
"=""8421""","旭源","3","3","100.00%","3","100.00%"
"=""8423""","保綠-KY","3","3","83.33%","3","94.44%"
"=""8424""","惠普","3","3","83.33%","3","93.33%"
"=""8426""","紅木-KY","3","3","100.00%","3","100.00%"
"=""8431""","匯鑽科","3","3","100.00%","3","100.00%"
"=""8432""","東生華","3","3","100.00%","3","94.44%"
"=""8433""","弘帆","3","4","100.00%","4","100.00%"
"=""8435""","鉅邁","3","3","100.00%","3","100.00%"
"=""8436""","大江","4","4","92.00%","4","95.00%"
"=""8437""","大地-KY","3","3","100.00%","3","100.00%"
"=""8440""","綠電","3","3","100.00%","3","100.00%"
"=""8444""","綠河-KY","3","3","100.00%","3","88.89%"
"=""8446""","華研","3","3","100.00%","3","91.70%"
"=""8450""","霹靂","4","4","100.00%","4","92.00%"
"=""8455""","大拓-KY","3","3","87.78%","3","88.89%"
"=""8472""","夠麻吉","3","3","100.00%","3","100.00%"
"=""8477""","創業家","3","3","100.00%","3","95.83%"
"=""8489""","三貝德","3","3","100.00%","3","100.00%"
"=""8905""","裕國","3","3","66.67%","3","86.67%"
"=""8906""","花王","3","3","100.00%","4","100.00%"
"=""8908""","欣雄","3","3","100.00%","3","100.00%"
"=""8916""","光隆","3","2","100.00%","4","95.00%"
"=""8917""","欣泰","3","3","87.00%","3","87.00%"
"=""8921""","沈氏","3","3","100.00%","3","100.00%"
"=""8923""","時報","3","3","83.33%","3","91.67%"
"=""8924""","大田","3","3","100.00%","3","100.00%"
"=""8927""","北基","3","3","100.00%","3","96.00%"
"=""8928""","鉅明","3","2","100.00%","3","100.00%"
"=""8929""","富堡","3","3","100.00%","3","91.67%"
"=""8930""","青鋼","4","4","100.00%","4","92.86%"
"=""8931""","大汽電","3","3","100.00%","3","100.00%"
"=""8932""","智通","3","2","100.00%","3","92.86%"
"=""8933""","愛地雅","3","2","100.00%","3","91.67%"
"=""8935""","邦泰","3","2","100.00%","3","100.00%"
"=""8936""","國統","3","3","100.00%","4","100.00%"
"=""8937""","合騏","3","3","100.00%","3","100.00%"
"=""8938""","明安","3","3","100.00%","4","95.83%"
"=""8941""","關中","3","3","100.00%","3","93.33%"
"=""8942""","森鉅","3","3","100.00%","3","100.00%"
"=""9949""","琉園","3","3","100.00%","3","100.00%"
"=""9950""","萬國通","3","3","100.00%","4","100.00%"
"=""9951""","皇田","3","3","77.78%","4","75.00%"
"=""9960""","邁達康","3","2","100.00%","3","100.00%"
"=""9962""","有益","3","3","100.00%","3","100.00%"
