"報告年度:2023","議題:持股及控制力"
"=""2754""","亞洲藏壽司","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2754_20240627F17.pdf"
"=""2755""","揚秦","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2755_20240529F17.pdf"
"=""2756""","聯發國際","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2756_20240527F17.pdf"
"=""2916""","滿心","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2916_20240529F17.pdf"
"=""2924""","宏太-KY","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2924_20240603F17.pdf"
"=""2926""","誠品生活","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2926_20240528F17.pdf"
"=""2937""","集雅社","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2937_20240618F17.pdf"
"=""2941""","米斯特","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2941_20240617F17.pdf"
"=""2947""","振宇五金","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2947_20240528F17.pdf"
"=""2948""","寶陞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2948_20240624F17.pdf"
"=""2949""","欣新網","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_2949_20240626F17.pdf"
"=""3064""","泰偉","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3064_20240618F17.pdf"
"=""3066""","李洲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3066_20240607F17.pdf"
"=""3067""","全域","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3067_20240621F17.pdf"
"=""3071""","協禧","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3071_20240619F17.pdf"
"=""3073""","天方能源","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3073_20240621F17.pdf"
"=""3078""","僑威","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3078_20240619F17.pdf"
"=""3081""","聯亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3081_20240529F17.pdf"
"=""3083""","網龍","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3083_20240626F17.pdf"
"=""3085""","新零售","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3085_20240627F17.pdf"
"=""3086""","華義","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3086_20240619F17.pdf"
"=""3088""","艾訊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3088_20240524F17.pdf"
"=""3093""","港建*","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3093_20240618F17.pdf"
"=""3095""","及成","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3095_20240627F17.pdf"
"=""3105""","穩懋","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3105_20240531F17.pdf"
"=""3114""","好德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3114_20240621F17.pdf"
"=""3115""","富榮綱","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3115_20240619F17.pdf"
"=""3118""","進階","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3118_20240529F17.pdf"
"=""3122""","笙泉","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3122_20240520F17.pdf"
"=""3128""","昇銳","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3128_20240624F17.pdf"
"=""3131""","弘塑","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3131_20240619F17.pdf"
"=""3141""","晶宏","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3141_20240516F17.pdf"
"=""3147""","大綜","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3147_20240524F17.pdf"
"=""3152""","璟德","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3152_20240614F17.pdf"
"=""3162""","精確","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3162_20240607F17.pdf"
"=""3163""","波若威","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3163_20240521F17.pdf"
"=""3169""","亞信","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3169_20240529F17.pdf"
"=""3171""","新洲","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3171_20240618F17.pdf"
"=""3176""","基亞","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3176_20240528F17.pdf"
"=""3178""","公準","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3178_20240626F17.pdf"
"=""3188""","鑫龍騰","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3188_20240603F17.pdf"
"=""3191""","雲科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3191_20240627F17.pdf"
"=""3202""","樺晟","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3202_20240625F17.pdf"
"=""3205""","佰研","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3205_20240626F17.pdf"
"=""3206""","志豐","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3206_20240531F17.pdf"
"=""3207""","耀勝","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3207_20240625F17.pdf"
"=""3211""","順達","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3211_20240612F17.pdf"
"=""3213""","茂訊","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3213_20240612F17.pdf"
"=""3217""","優群","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3217_20240612F17.pdf"
"=""3218""","大學光","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3218_20240619F17.pdf"
"=""3219""","倚強科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3219_20240521F17.pdf"
"=""3221""","台嘉碩","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3221_20240531F17.pdf"
"=""3224""","三顧","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3224_20240627F17.pdf"
"=""3226""","至寶電","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3226_20240627F17.pdf"
"=""3227""","原相","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3227_20240531F17.pdf"
"=""3228""","金麗科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3228_20240613F17.pdf"
"=""3230""","錦明","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3230_20240625F17.pdf"
"=""3232""","昱捷","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3232_20240625F17.pdf"
"=""3234""","光環","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3234_20240530F17.pdf"
"=""3236""","千如","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3236_20240603F17.pdf"
"=""3252""","海灣","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3252_20240621F17.pdf"
"=""3259""","鑫創","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3259_20240529F17.pdf"
"=""3260""","威剛","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3260_20240527F17.pdf"
"=""3264""","欣銓","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3264_20240531F17.pdf"
"=""3265""","台星科","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3265_20240521F17.pdf"
"=""3268""","海德威","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3268_20240621F17.pdf"
"=""3272""","東碩","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3272_20240626F17.pdf"
"=""3276""","宇環","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3276_20240621F17.pdf"
"=""3284""","太普高","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3284_20240527F17.pdf"
"=""3285""","微端","https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2024_3285_20240614F17.pdf"
