"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""4127""","天良","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4128""","中天","1.8321","66.8800","68.7121","合併報表之母子公司（信義、南港辦公室、棉花田生機與中天健康的一般垃圾由大樓管理單位或市政清運處理,無法提供數據未納入統計）","0.0407","廢棄物量/百萬元營業額","ISO 14001"
"=""4129""","聯合","2.0800","134.4500","136.5300","僅含本公司新竹廠與高雄廠資料","0.0537","廢棄物量/百萬元營業額","ISO 14001"
"=""4130""","健亞","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4131""","浩泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4138""","曜亞","N/A","0.1540","0.1540","母公司自行盤查","N/A","N/A","N/A"
"=""4139""","馬光-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4147""","中裕","1.9600","0.7300","2.6900","中裕新藥竹北廠","N/A","N/A","N/A"
"=""4153""","鈺緯","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4154""","樂威科-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4157""","太景*-KY","N/A","N/A","7.2000","太景台灣","0.0019","其他(樓地板面積(平方公尺))","N/A"
"=""4160""","訊聯基因","0.0000","23.6000","23.6000","包含合併財務報表之母子公司","0.0398","廢棄物量/百萬元營業額","N/A"
"=""4161""","聿新科","0.0000","42.9900","42.9900","總公司與新竹科學園區新竹分公司","0.0518","廢棄物量/百萬元營業額","N/A"
"=""4162""","智擎","0.0000","201.2000","201.2000","全公司","N/A","N/A","N/A"
"=""4163""","鐿鈦","3.6700","48.4910","52.1610","本公司所有廠區及國內子公司","N/A","N/A","N/A"
"=""4167""","松瑞藥","303.3600","310.7694","614.1294","竹南廠、南科廠與南科針劑廠","0.5760","廢棄物量/百萬元營業額","N/A"
"=""4168""","醣聯","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4171""","瑞基","3.5110","1.4800","4.9910","2023年度","0.0221","廢棄物量/百萬元營業額","N/A"
"=""4173""","久裕","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4174""","浩鼎","7.7774","4.0330","11.8104","112/01/01~112/12/31","N/A","N/A","N/A"
"=""4175""","杏一","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4183""","福永生技","5.3100","7.2600","12.5700","母公司","N/A","N/A","ISO 14001"
"=""4188""","安克","0.0000","0.0000","0.0000","台北公司及楊梅工廠","N/A","N/A","N/A"
"=""4192""","杏國","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4198""","欣大健康","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4205""","中華食","0.0000","1,683.4710","1,683.4710","高雄廠、屏東廠、台中營業所、台北營業所","0.8616","廢棄物量/百萬元營業額","N/A"
"=""4207""","環泰","0.3620","4,814.2300","4,814.5920","桃園南崁&彰化廠","2.5351","廢棄物量/百萬元營業額","N/A"
"=""4303""","信立","0.0000","29.7100","29.7100","母公司","0.1834","廢棄物量/百萬元營業額","N/A"
"=""4304""","勝昱","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4305""","世坤","N/A","19.6680","19.6680","112年度","0.0200","廢棄物量/百萬元營業額","N/A"
"=""4401""","東隆興","0.0000","688.9400","688.9400","母公司","0.0003","其他(公噸/千元營業額)","N/A"
"=""4402""","福大","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4406""","新昕纖","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4413""","飛寶企業","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4416""","三圓","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4417""","金洲","0.0000","12.0000","12.0000","母公司","0.0000","廢棄物量/百萬元營業額","N/A"
"=""4419""","元勝","208.9600","3.1160","212.0760","包含合併財務報表之母子公司","0.5356","廢棄物量/百萬元營業額","N/A"
"=""4420""","光明","0.0000","17.2510","17.2510","光明絲織廠股份有限公司龜山廠(桃園市龜山區宏洲街29號)","0.0250","廢棄物量/百萬元營業額","N/A"
"=""4430""","耀億","10.8400","13.2800","24.1200","2023/01/01-2023/12/31","N/A","N/A","N/A"
"=""4432""","銘旺實","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4433""","興采","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4442""","竣邦-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4502""","健信","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4503""","金雨","0.0000","0.8140","0.8140","母公司","0.0030","廢棄物量/百萬元營業額","N/A"
"=""4506""","崇友","0.0000","246.4920","246.4920","本公司楊梅廠","0.0947","其他(出貨台數)","N/A"
"=""4510""","高鋒","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4513""","福裕","0.0000","92.0000","92.0000","母公司","N/A","N/A","N/A"
"=""4523""","永彰","0.0000","69.4300","69.4300","母公司","0.1195","廢棄物量/百萬元營業額","ISO 14001"
"=""4527""","方方土霖","0.0000","4,132.0000","4,132.0000","僅母公司","2.5800","廢棄物量/百萬元營業額","N/A"
"=""4528""","江興鍛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4529""","淳紳","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4530""","宏易","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4533""","協易機","0.0000","22.7300","22.7300","僅母公司。","0.0200","廢棄物量/百萬元營業額","N/A"
"=""4534""","慶騰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4535""","至興","37.5700","109.5030","147.0730","台灣營運據點","0.1180","廢棄物量/百萬元營業額","ISO 14001"
"=""4538""","大詠城","N/A","1,886.3000","1,886.3000","112年","N/A","N/A","N/A"
"=""4541""","晟田","0.0000","267.9800","267.9800","本公司(個別公司)","0.2234","廢棄物量/百萬元營業額","N/A"
"=""4542""","科嶠","N/A","N/A","0.0000","本公司溫室氣體盤查基準年預計規劃為2024年，經過盤查活動分析溫室氣體的排放狀況，並做為減量對策的依據，營運過程中各種活動均納入考量，並推動節約用電，減少溫室氣體排放。","N/A","N/A","N/A"
"=""4543""","萬在","0.0000","193.4200","193.4200","母公司","0.0002","其他(廢棄物量/千元營業額)","N/A"
"=""4549""","桓達","0.0000","24.6200","24.6200","本公司總部、土城廠以及宜蘭廠","0.0264","廢棄物量/百萬元營業額","N/A"
"=""4550""","長佳","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4554""","橙的","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4556""","旭然","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4558""","寶緯","0.0000","81.9380","81.9380","本公司所有廠區","N/A","N/A","N/A"
"=""4561""","健椿","12.1000","9.6000","21.7000","彰化縣線西鄉彰濱東七路16號、彰化縣線西鄉線工路3號","N/A","N/A","ISO 14001"
"=""4563""","百德","0.0000","100.6900","100.6900","母公司","0.0768","廢棄物量/百萬元營業額","N/A"
"=""4568""","科際精密","0.0000","2.3600","2.3600","包含合併財務報表之母子公司","0.2200","廢棄物量/百萬元營業額","N/A"
"=""4577""","達航科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4580""","捷流閥業","0.0000","76.8000","76.8000","捷流公司土城廠","0.0000","廢棄物量/產品","N/A"
"=""4584""","君帆","0.0000","30.0000","30.0000","母公司","0.0866","廢棄物量/百萬元營業額","N/A"
"=""4609""","唐鋒","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4702""","中美實","0.0000","N/A","0.0000","僅母公司","0.0000","廢棄物量/百萬元營業額","N/A"
"=""4706""","大恭","8.8600","647.6600","656.5200","僅母公司大園廠區之【廢棄物】","0.1600","廢棄物量/產品","N/A"
"=""4707""","磐亞","0.1300","232.2800","232.4100","僅本公司","0.0088","廢棄物量/產品","N/A"
"=""4711""","永純","3.9200","1,272.2000","1,276.1200","永純化工個體公司","1.9630","廢棄物量/百萬元營業額","N/A"
"=""4714""","永捷","162.6000","5.4403","168.0403","個體，不含子公司","N/A","N/A","N/A"
"=""4716""","大立","0.0000","213.2480","213.2480","大立高分子工業股份有限公司永安廠區","0.0320","廢棄物量/產品","ISO 9001,ISO 14001"
"=""4721""","美琪瑪","6.7400","208.3900","215.1300","母公司","N/A","N/A","其他(確信準則3000號.)"
"=""4726""","永昕","13.0782","12.6900","25.7682","目前統計範圍為本公司位於竹南GMP一廠及二廠","0.0394","廢棄物量/百萬元營業額","N/A"
"=""4728""","雙美","0.0000","9.9400","9.9400","全公司","N/A","N/A","N/A"
"=""4729""","熒茂","8.7500","215.6200","224.3700","2023/1~2023/12","N/A","N/A","ISO 14001"
"=""4735""","豪展","2.5000","0.0000","2.5000","海外子公司","0.0028","廢棄物量/百萬元營業額","ISO 14001"
"=""4741""","泓瀚","N/A","108.5500","108.5500","112/1/1~112/12/31","0.0918","其他(公噸/產量)","N/A"
"=""4743""","合一","26.8900","3.1500","30.0400","母公司（信義與南港辦公室的一般垃圾由大樓管理單位負責清運,大樓管理單位無法提供數據未納入統計)	","0.4140","廢棄物量/百萬元營業額","ISO 14001"
"=""4744""","皇將","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4745""","合富-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4747""","強生製藥","0.0000","3.2100","3.2100","母公司","N/A","N/A","N/A"
"=""4754""","國碳科","N/A","N/A","8.8350","N/A","N/A","N/A","N/A"
"=""4760""","勤凱科技","11.4840","7.0800","18.5640","2023年事業廢棄物委託共同處理管制遞送三聯單","N/A","N/A","ISO 14001"
"=""4767""","誠泰科技","0.0000","34.9140","34.9140","高科廠和路竹廠","0.1065","廢棄物量/百萬元營業額","N/A"
"=""4768""","晶呈科技","N/A","3.0800","3.0800","晶呈科技(母公司)竹南一廠","N/A","N/A","其他(確信準則3000號)"
"=""4804""","大略-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4806""","昇華","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4903""","聯光通","N/A","50.9500","50.9500","202301~202312","0.0741","廢棄物量/百萬元營業額","N/A"
"=""4905""","台聯電","0.0158","N/A","0.0158","母公司","0.0001","廢棄物量/百萬元營業額","N/A"
"=""4907""","富宇","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4908""","前鼎","0.2400","40.0000","40.2400","本公司新竹廠區(本公司無子公司，僅有新竹廠)","0.0400","廢棄物量/百萬元營業額","N/A"
"=""4909""","新復興","894.2200","434.6900","1,328.9100","台灣新屋廠區","N/A","N/A","N/A"
"=""4911""","德英","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4923""","力士","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4924""","欣厚-KY","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""4931""","新盛力","0.7800","154.6900","155.4700","僅母公司","N/A","N/A","N/A"
"=""4933""","友輝","122.3620","376.9300","499.2920","桃園總公司+竹南分公司","N/A","N/A","N/A"
"=""4939""","亞電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4945""","陞達科技","N/A","0.1140","0.1140","本公司係為無廠半導體IC設計公司，全數產品委外代工生產，為”非製造業”範疇，故僅揭露廢棄物總量，亦排除一般生活廢棄物之盤查。係依我司112年<<事業報廢品清運處理報告書>>之廢棄物總量論之。","0.0003","廢棄物量/百萬元營業額","N/A"
"=""4946""","辣椒","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4951""","精拓科","N/A","N/A","4.5698","母公司及合併財報子公司","0.0112","廢棄物量/百萬元營業額","N/A"
"=""4953""","緯軟","0.0000","25.8700","25.8700","範圍涵蓋所有母子公司","0.0029","廢棄物量/百萬元營業額","N/A"
"=""4966""","譜瑞-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4971""","IET-KY","3.0700","N/A","3.0700","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""4972""","湯石照明","26.5500","86.1200","112.6700","集團各公司","0.1388","廢棄物量/百萬元營業額","N/A"
"=""4973""","廣穎電通","3.5730","90.8900","94.4630","母公司所有廠房及租賃辦公室","N/A","N/A","N/A"
"=""4974""","亞泰","2.9080","82.4500","85.3580","深圳亞泰","0.0241","廢棄物量/百萬元營業額","N/A"
"=""4979""","華星光","8.3262","30.9470","39.2732","母公司","0.0133","廢棄物量/百萬元營業額","N/A"
"=""4987""","科誠","0.0000","0.7960","0.7960","僅母公司","0.0011","廢棄物量/百萬元營業額","N/A"
"=""4991""","環宇-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""4995""","晶達","0.0000","17.8600","17.8600","母公司","N/A","N/A","ISO 9001,ISO 14001"
"=""5009""","榮剛","1,986.0000","46,490.0000","48,476.0000","母公司","0.5900","廢棄物量/產品","ISO 14001"
"=""5011""","久陽","0.0000","420.4500","420.4500","母公司","0.3899","廢棄物量/百萬元營業額","N/A"
"=""5013""","強新","9.3560","6,603.7410","6,613.0970","母公司","0.0655","廢棄物量/產品","N/A"
"=""5014""","建錩","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5016""","松和","1,482.3100","461.6000","1,943.9100","母公司","1.0000","廢棄物量/百萬元營業額","ISO 14001"
"=""5201""","凱衛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5202""","力新","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5205""","中茂","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5206""","坤悅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5209""","新鼎","0.0000","13.9600","13.9600","台北總公司/高雄分公司(橋頭)/康寧專案工地辦公室/康寧EPC工務所 ","0.0086","廢棄物量/百萬元營業額","其他(ISO 14064-1: 2018)"
"=""5210""","寶碩","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5211""","蒙恬","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5212""","凌網","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5213""","亞昕","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5220""","萬達光電","0.0000","240.0400","240.0400","母公司","0.3086","廢棄物量/百萬元營業額","N/A"
"=""5227""","立凱-KY","0.0000","382.0000","382.0000","子公司台灣立凱電能科技股份有限公司","N/A","N/A","N/A"
"=""5228""","鈺鎧","13.2300","53.8500","67.0800","以112年全年度資料統計計算","0.1500","廢棄物量/百萬元營業額","N/A"
"=""5230""","雷笛克光學","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5236""","凌陽創新","0.0000","4.7746","4.7746","母公司(本公司尚無子公司)","0.0029","廢棄物量/百萬元營業額","N/A"
"=""5245""","智晶","237.5828","71.8500","309.4328","母公司","0.3492","廢棄物量/百萬元營業額","N/A"
"=""5251""","天鉞電","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5263""","智崴","10.8300","2.9900","13.8200","註 1：數據涵蓋智崴高雄總部；製造中心(桃園廠)及台北辦公室未經秤重，故無法取得數據。 註2：廢棄物的直接處置為依據實際秤重數據揭露。 註3：廢棄物的處置移轉=每車平均重量*當年度回收車次推估。","N/A","N/A","N/A"
"=""5272""","笙科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5274""","信驊","0.0000","0.0966","0.0966","新竹總部與台北辦事處","0.0000","廢棄物量/產品","N/A"
"=""5276""","達輝-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5278""","尚凡","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5287""","數字","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5289""","宜鼎","6.9720","11.4470","18.4192","僅母公司 ","0.0022","廢棄物量/百萬元營業額","ISO 14001"
"=""5291""","邑昇","1,093.5900","1,209.4210","2,303.0110","報導邊界與財務報表一致","10.0377","廢棄物量/百萬元營業額","N/A"
"=""5299""","杰力","0.0000","1.1460","1.1460","總公司","N/A","N/A","其他(ISO14064-3)"
"=""5301""","寶得利","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5302""","太欣","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5309""","系統電","3.8400","89.1900","93.0300","包含母公司及子公司電統能源、鎮江廠及惠州廠","0.0284","廢棄物量/百萬元營業額","N/A"
"=""5310""","天剛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5312""","寶島科","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5314""","世紀","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5315""","光聯","122.6200","0.0000","122.6200","母公司","0.0787","廢棄物量/百萬元營業額","N/A"
"=""5321""","美而快","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5324""","士開","0.0000","4,377.0000","4,377.0000","城心曜曜案工地土方","N/A","N/A","N/A"
"=""5328""","華容","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5340""","建榮","0.0000","779.9800","779.9800","母公司(楊梅廠)","0.6330","廢棄物量/百萬元營業額","N/A"
"=""5344""","立衛","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5345""","天揚","0.0000","0.0300","0.0300","112年全年","N/A","N/A","N/A"
"=""5347""","世界","4,850.1980","3,541.3600","8,391.5580","2023年度FAB1/2/3/5/VS1廠區。","0.0978","廢棄物量/產品","N/A"
"=""5348""","正能量智能","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5351""","鈺創","0.3030","54.6000","54.9030","所有廠區","0.0207","廢棄物量/百萬元營業額","N/A"
"=""5353""","台林","6.0000","67.0400","73.0400","2023年事業廢棄物申報系統管編H4604700 ","N/A","N/A","ISO 14001"
"=""5355""","佳總","504.7520","386.4799","891.2319","桃園市桃園區興邦路39之2號、39之4號及41之1號","1.7948","廢棄物量/百萬元營業額","N/A"
"=""5356""","協益","1.5470","276.3520","277.8990","2023.1.1~2023.12.31","0.1833","廢棄物量/百萬元營業額","N/A"
"=""5364""","力麗店","N/A","N/A","82.5200","力麗明池飯店棲蘭及明池二營業場所","N/A","N/A","N/A"
"=""5371""","中光電","4.3000","376.3000","380.6000","台灣廠區及台灣子公司","0.0150","廢棄物量/百萬元營業額","ISO 14001"
"=""5381""","合正","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5386""","青雲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5392""","能率","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5398""","慕康生醫","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5403""","中菲","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5410""","國眾","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5425""","台半","3,550.0000","1,280.0000","4,831.0000","全數生產據點(宜蘭、利澤、天津、山東)","N/A","N/A","ISO 14001"
"=""5426""","振發","56.0000","0.1400","56.1400","母公司","N/A","N/A","N/A"
"=""5432""","新門","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5438""","東友","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5439""","高技","2,190.0000","5,272.0000","7,462.0000","112年1月至112年12月","1.7150","廢棄物量/百萬元營業額","ISO 14001"
"=""5443""","均豪","3.3700","43.3700","46.7400","僅母公司","0.0000","其他(千元營業額)","N/A"
"=""5450""","南良","0.5080","815.2420","815.7500","總公司、台南分公司、本廠、蔦松廠、仁愛廠","0.5062","廢棄物量/百萬元營業額","N/A"
"=""5452""","佶優","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5455""","昇益","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5457""","宣德","2.0740","47.3600","49.4340","桃園市龜山區民生北路一段568號","0.0145","廢棄物量/百萬元營業額","N/A"
"=""5460""","同協","0.0000","13.0800","13.0800","僅母公司","N/A","N/A","N/A"
"=""5464""","霖宏","1,123.4900","244.9250","1,368.4150","母公司","1.6647","廢棄物量/百萬元營業額","N/A"
"=""5465""","富驊","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5468""","凱鈺","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""5474""","聰泰","N/A","0.9200","0.9200","財務報表之母公司","N/A","N/A","N/A"
"=""5475""","德宏","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5478""","智冠","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5481""","新華","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""5483""","中美晶","4.8000","2,300.5900","2,305.3900","母公司，包含：總公司、竹南分公司(竹南廠、二廠)、宜蘭分公司(一廠、三廠)、旭鑫分公司","0.3371","廢棄物量/百萬元營業額","ISO 14001"
"=""5487""","通泰","N/A","N/A","0.0000","N/A","N/A","N/A","N/A"
"=""5488""","松普","21.2850","0.0000","21.2850","202301-202312","N/A","N/A","N/A"
"=""5489""","彩富","N/A","N/A","N/A","N/A","N/A","N/A","其他(ISO 9001, ISO14001)"
"=""5490""","同亨","0.0000","0.9600","0.9600","母公司","0.0010","廢棄物量/百萬元營業額","N/A"
"=""5493""","三聯","N/A","N/A","75.3400","包含合併財務報表之母子公司","N/A","N/A","N/A"
"=""5498""","凱崴","0.0000","42.2410","42.2410","桃園廠","N/A","N/A","N/A"
"=""5508""","永信建","N/A","N/A","2.7800","公司總部","0.0003","廢棄物量/百萬元營業額","N/A"
"=""5511""","德昌","0.0000","953.7600","953.7600","轉運中心及航空城D2專案工地","N/A","N/A","N/A"
"=""5512""","力麒","N/A","12,226.0000","12,226.0000","個體公司","3.8200","廢棄物量/百萬元營業額","N/A"
"=""5514""","三豐","0.0000","89,767.9700","89,767.9700","包含合併財務報表之母子公司","187.6120","廢棄物量/百萬元營業額","N/A"
"=""5516""","雙喜","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5520""","力泰","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5523""","豐謙","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5529""","鉅陞","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5530""","龍巖","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5536""","聖暉*","0.0000","0.3198","0.3198","本公司屬工程服務業(非製造業)，總公司在廢棄物管理上 主要為廚餘回收，處理方式係由大樓管委會委託專業合格的廠商統一回收堆肥使用。","N/A","N/A","N/A"
"=""5543""","桓鼎-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5548""","安倉","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5601""","台聯櫃","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5603""","陸海","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5604""","中連","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5609""","中菲行","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5701""","劍湖山","0.0000","229.6700","229.6700","母公司","N/A","N/A","N/A"
"=""5703""","亞都麗緻","N/A","167.9100","167.9100","僅母公司","0.0044","廢棄物量/百萬元營業額","N/A"
"=""5704""","老爺知","N/A","N/A","N/A","N/A","24.6200","廢棄物量/百萬元營業額","N/A"
"=""5864""","致和證","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5878""","台名","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5902""","德記","0.0000","6.0530","6.0530","僅母公司","0.0029","廢棄物量/百萬元營業額","N/A"
"=""5903""","全家","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5904""","寶雅","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""5905""","南仁湖","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6015""","宏遠證","0.0000","27.3730","27.3730","包含合併財務報表之母子公司","0.0224","廢棄物量/百萬元營業額","N/A"
"=""6016""","康和證","N/A","N/A","29.2281","母公司(總公司及包含分布於北中南三區15 個分公司，共16 個據點，覆蓋率100%)","0.0100","廢棄物量/百萬元營業額","其他(ISO14064-3)"
"=""6020""","大展證","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6021""","美好證","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6023""","元大期貨","13.8526","6.9694","20.8220","全台營運據點","0.0061","廢棄物量/百萬元營業額","ISO 14001"
"=""6026""","福邦證","0.0000","4.9100","4.9100","112年廢棄物統計，包含一般垃圾及資源回收量統計數據","0.0210","其他(公噸/人數)","N/A"
"=""6101""","寬魚國際","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6103""","合邦","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6104""","創惟","N/A","N/A","6.4800","台北辦公室","N/A","N/A","N/A"
"=""6109""","亞元","N/A","N/A","0.0000","N/A","N/A","N/A","其他(宜昌廠及東莞廠均以污水監測技術規範HJ91.1-2019驗證)"
"=""6111""","大宇資","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6113""","亞矽","0.0000","4.8570","4.8570","112年度","N/A","N/A","N/A"
"=""6114""","久威","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6118""","建達","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6121""","新普","353.0000","7,690.0000","8,043.0000","包含合併財務報表之母子公司","0.0950","廢棄物量/百萬元營業額","ISO 14001"
"=""6122""","擎邦","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6123""","上奇","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6124""","業強","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6125""","廣運","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6126""","信音","6.0300","417.3700","423.3900","合併財務報表之母子公司","0.1227","廢棄物量/百萬元營業額","N/A"
"=""6127""","九豪","162.0700","270.2800","432.3500","母公司","N/A","N/A","ISO 14001"
"=""6129""","普誠","0.0360","1.1520","1.1880","普誠科技股份有限公司(新北市新店區寶橋路233-1號2樓、新北市新店區寶橋路235巷6弄3號5號6樓、新竹市光復路二段2巷47號6樓-1)。","N/A","N/A","ISO 14001"
"=""6130""","上亞科技","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6134""","萬旭","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6138""","茂達","N/A","N/A","0.9300","本公司","0.0032","其他(員工人數)","N/A"
"=""6140""","訊達電腦","0.0000","1.0000","1.0000","母公司之台北總公司","N/A","N/A","N/A"
"=""6143""","振曜","0.0000","190.7400","190.7400","母公司","N/A","N/A","N/A"
"=""6144""","得利影","0.0000","0.0000","0.0000","112年無產品報廢","N/A","N/A","N/A"
"=""6146""","耕興","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6147""","頎邦","1,164.1870","1,106.1270","2,270.3140","僅母公司 (全台灣六處營運據點)","0.1132","廢棄物量/百萬元營業額","ISO 14001"
"=""6148""","驊宏資","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""6150""","撼訊","2.3000","5.0000","7.3000","廠區","N/A","N/A","N/A"
"=""6151""","晉倫","0.0000","53.8550","53.8550","僅母公司","0.0677","廢棄物量/百萬元營業額","ISO 14001"
"=""6154""","順發","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
